Time(ms)	 Yaw(º)	 Pitch(º)	 Roll(º)	 AccX(mg)	 AccY(mg)	 AccZ(mg)
5	-27,13	-5,17	-0,58	14,55	-69,84	988,4
13	-27	-5,14	-0,59	11,64	-66,44	996,16
20	-26,86	-5,12	-0,59	12,61	-62,08	1000,04
29	-26,73	-5,1	-0,6	17,46	-90,21	984,52
36	-26,59	-5,08	-0,61	13,09	-75,66	990,34
44	-26,46	-5,06	-0,62	9,21	-68,38	991,8
52	-26,33	-5,04	-0,62	14,55	-75,17	985,49
60	-26,2	-5,02	-0,62	12,12	-78,57	987,92
68	-26,08	-5	-0,62	12,12	-69,84	988,89
76	-25,94	-4,98	-0,62	16	-72,75	994,71
84	-25,81	-4,96	-0,63	14,06	-72,26	988,4
92	-25,69	-4,94	-0,63	14,55	-79,54	991,31
99	-25,56	-4,92	-0,64	13,09	-70,81	990,83
107	-25,44	-4,9	-0,65	5,82	-76,63	985,01
115	-25,31	-4,88	-0,65	19,88	-75,17	990,34
123	-25,19	-4,86	-0,66	13,09	-76,63	991,31
131	-25,07	-4,84	-0,66	15,03	-72,75	989,37
139	-24,95	-4,82	-0,67	13,09	-73,23	988,89
147	-24,83	-4,8	-0,68	16,49	-76,63	991,31
155	-24,7	-4,79	-0,69	10,18	-78,08	989,86
163	-24,58	-4,77	-0,69	11,15	-70,81	986,46
170	-24,46	-4,75	-0,69	12,12	-71,29	989,86
178	-24,34	-4,73	-0,7	10,67	-67,9	992,28
186	-24,22	-4,71	-0,71	14,55	-69,35	987,43
194	-24,11	-4,69	-0,73	13,58	-72,75	988,89
202	-24	-4,67	-0,75	12,61	-78,57	991,8
210	-23,89	-4,65	-0,78	18,91	-58,2	990,34
218	-23,77	-4,63	-0,81	11,64	-87,3	989,37
226	-23,66	-4,61	-0,83	10,67	-51,41	993,74
234	-23,55	-4,59	-0,88	16,49	-88,27	987,92
241	-23,45	-4,57	-0,93	12,61	-58,2	983,07
249	-23,35	-4,55	-1,01	20,85	-59,65	998,59
257	-23,24	-4,51	-1,14	-32,49	-396,23	827,87
265	-23,14	-4,48	-1,2	14,55	-75,66	981,61
273	-23,01	-4,47	-1,34	706,14	484,99	1816,76
281	-22,92	-4,46	-1,61	159,56	-536,4	898,2
289	-22,86	-4,39	-1,94	421,45	-386,05	1031,57
297	-22,79	-4,34	-2,1	290,51	321,55	523,79
305	-22,75	-4,28	-2,58	523,79	-593,62	244,43
312	-22,7	-4,24	-3,04	456,86	-405,45	309,42
320	-22,65	-4,22	-3,55	347,25	-446,19	1970,5
328	-22,58	-4,19	-4,07	426,3	357,44	1131,48
336	-22,51	-4,19	-4,47	415,15	5,82	1133,42
344	-22,44	-4,18	-4,98	205,63	-655,22	1075,7
353	-22,37	-4,17	-5,63	113,49	-158,59	1085,4
360	-22,29	-4,18	-6,04	254,62	668,31	1464,66
368	-22,23	-4,17	-6,54	39,77	86,81	952,52
376	-22,17	-4,16	-7,14	-23,28	158,59	1085,89
383	-22,11	-4,15	-7,65	-180,42	437,46	1026,72
391	-22,04	-4,11	-8,13	-230,37	58,2	1693,09
399	-21,96	-4,1	-8,56	-433,09	426,3	2027,73
407	-21,86	-4,1	-9	-643,09	389,44	1231,38
415	-21,75	-4,1	-9,4	-1003,44	-62,08	1379,79
423	-21,6	-4,14	-9,74	-854,55	180,9	1152,33
431	-21,45	-4,21	-10	-919,05	119,79	1393,37
438	-21,28	-4,05	-10,11	-856	294,87	496,14
446	-21	-4,04	-10,08	-964,15	1372,51	190,12
454	-20,63	-4,08	-9,62	-953	1644,59	1054,36
462	-20,24	-4,19	-8,87	-790,04	1391,43	823,51
470	-19,82	-4,28	-8,14	-772,1	685,29	875,89
478	-19,35	-4,43	-7,34	-632,42	854,06	929,24
486	-18,84	-4,59	-6,61	-580,04	907,41	1125,66
494	-18,3	-4,64	-5,91	-358,89	609,14	604,78
502	-17,71	-4,74	-5,49	-392,84	520,88	1100,44
510	-17,1	-4,83	-4,99	-360,83	868,13	894,32
518	-16,46	-4,84	-4,43	-284,2	352,1	934,57
525	-15,8	-4,91	-3,96	-261,89	102,82	784,71
533	-15,13	-4,94	-3,34	-206,6	376,35	761,43
541	-14,46	-4,92	-2,47	-101,36	444,73	920,51
549	-13,79	-4,94	-1,68	-69,84	262,86	606,72
557	-13,11	-4,96	-0,74	9,21	180,42	919,05
565	-12,43	-4,98	0,19	106,21	203,21	765,79
573	-11,75	-4,99	1,13	100,88	169,75	852,61
580	-11,09	-5	2,06	145,5	60,14	898,2
589	-10,43	-5,01	2,95	164,9	44,62	943,79
596	-9,77	-5,03	3,82	195,45	5,33	1007,32
604	-9,11	-5,05	4,63	213,88	-50,92	932,15
612	-8,45	-5,07	5,42	230,37	-85,84	938,45
620	-7,8	-5,06	6,23	229,4	-94,57	848,73
628	-7,15	-5,06	7	221,15	-123,67	821,57
636	-6,52	-5,05	7,75	221,15	-170,23	816,72
644	-5,9	-5,08	8,41	269,65	90,21	970,94
651	-5,26	-5,02	9,15	246,37	-52,86	722,15
659	-4,62	-4,94	9,82	137,25	-396,23	452,49
667	-3,98	-4,87	10,49	96,03	-372,96	739,61
675	-3,36	-4,8	11,07	113	-277,9	508,27
683	-2,73	-4,69	11,57	16,97	-248,8	285,66
691	-2,1	-4,56	12,01	-56,26	-157,62	280,81
699	-1,51	-4,51	12,25	-206,6	-153,74	3570,48
708	-0,98	-4,45	12,45	6,79	-1167,85	331,73
714	-0,39	-4,43	12,49	165,87	-277,9	1750,8
723	0,19	-4,5	12,54	-60,14	-237,64	2412,81
730	0,64	-4,5	12,06	-11,15	-1327,9	4978,88
738	1,09	-4,76	11,49	580,53	-1543,71	2275,56
746	1,52	-4,68	11,09	379,26	-1086,86	2960,36
754	1,91	-4,83	10,47	-251,22	-2629,12	2416,69
762	2,26	-4,79	9,96	-146,47	-58,68	1504,92
770	2,44	-4,92	9,18	18,91	-2673,73	2202,81
778	2,56	-4,93	8,19	210,48	-3192,67	2776,07
786	2,63	-4,96	7,03	-94,57	-2085,93	1025,26
793	2,63	-4,97	5,84	-126,58	-1506,86	1009,26
802	2,58	-4,99	4,87	-74,69	-1112,08	1664,48
809	2,53	-5,01	4,15	-244,92	-409,81	633,39
817	2,48	-5,06	3,45	-138,22	142,59	1694,06
825	2,43	-5,08	2,66	6,3	-263,35	1938,98
833	2,4	-5,11	2,08	173,14	-161,5	722,15
841	2,36	-5,18	1,67	304,57	286,14	1001,01
849	2,34	-5,25	1,27	411,27	-309,91	825,93
857	2,33	-5,26	1,14	107,18	1311,41	-110,09
864	2,32	-5,25	1	105,73	70,81	-1225,56
872	2,33	-5,25	0,94	-23,76	-497,6	1077,64
880	2,36	-5,25	0,67	-203,69	-742,03	-529,61
888	2,37	-5,25	0,69	-74,69	-551,43	1219,26
896	2,37	-5,26	0,76	-16,97	-251,22	1453,99
905	2,38	-5,29	0,77	76,63	-697,41	245,4
912	2,38	-5,28	0,75	28,61	-790,53	124,64
920	2,38	-5,31	0,77	23,76	150,35	1688,24
928	2,38	-5,29	0,75	-21,34	-35,4	963,67
936	2,37	-5,33	0,72	154,23	-7,76	2023,37
943	2,36	-5,32	0,62	-31,04	-808,96	2696,04
951	2,34	-5,3	0,59	-21,82	-166,35	397,69
959	2,33	-5,28	0,58	6,79	5,33	1042,72
967	2,32	-5,28	0,32	151,8	491,78	1032,54
975	2,31	-5,28	0,25	16	-228,43	2132,97
983	2,31	-5,26	0,19	-5,82	-266,26	897,71
991	2,3	-5,23	0,2	2,42	-14,55	1007,8
999	2,3	-5,21	0,19	2,91	-56,74	989,37
1006	2,31	-5,19	0,19	0,97	-64,02	991,31
1015	2,3	-5,17	0,2	-2,42	-50,92	1000,04
1022	2,29	-5,15	0,2	1,45	-58,2	991,8
1030	2,28	-5,13	0,2	0,97	-58,2	995,68
1038	2,28	-5,11	0,2	-0,48	-50,44	991,8
1046	2,28	-5,08	0,21	0	-58,68	992,77
1054	2,27	-5,06	0,21	1,94	-57,71	991,31
1062	2,27	-5,03	0,22	1,45	-50,92	990,34
1069	2,27	-5,01	0,22	0	-51,41	991,8
1078	2,27	-4,99	0,22	4,36	-53,83	993,74
1085	2,27	-4,96	0,22	0,48	-50,92	993,74
1093	2,26	-4,94	0,23	0	-53,35	994,22
1101	2,26	-4,92	0,23	-1,94	-53,83	990,83
1109	2,26	-4,9	0,23	0,48	-54,8	990,34
1117	2,27	-4,87	0,23	-2,91	-54,8	986,95
1125	2,27	-4,85	0,22	1,94	-57,23	988,4
1133	2,27	-4,84	0,22	6,79	-51,89	990,83
1140	2,28	-4,81	0,22	-3,88	-54,32	987,92
1148	2,29	-4,8	0,21	2,42	-54,32	995,19
1156	2,28	-4,77	0,2	-2,91	-60,14	993,25
1164	2,27	-4,75	0,19	3,88	-58,2	992,77
1172	2,26	-4,73	0,18	0	-57,23	990,83
1180	2,27	-4,71	0,17	0,97	-57,71	996,16
1188	2,27	-4,69	0,16	1,94	-60,14	998,1
1196	2,26	-4,67	0,15	4,36	-58,68	993,25
1204	2,25	-4,64	0,14	4,85	-53,83	985,98
1212	2,25	-4,62	0,12	-2,91	-62,08	992,28
1220	2,26	-4,6	0,11	3,88	-57,23	987,43
1227	2,25	-4,58	0,11	-1,45	-53,83	989,37
1235	2,25	-4,56	0,1	-0,97	-62,56	985,98
1243	2,24	-4,54	0,07	3,39	-89,24	982,58
1251	2,24	-4,52	0,07	-3,39	-54,32	997,13
1259	2,24	-4,5	0,06	-2,91	-68,38	984,52
1267	2,24	-4,49	0,06	4,36	-55,77	983,07
1275	2,23	-4,47	0,04	-2,91	-77,11	1000,04
1282	2,23	-4,45	0,03	0	-62,56	999,07
1291	2,23	-4,43	0	7,27	-94,09	993,25
1298	2,23	-4,41	-0,02	-0,97	-73,23	1011,68
1306	2,21	-4,45	-0,14	15,03	-1472,91	581,5
1314	2,2	-4,47	-0,06	-23,28	447,16	324,94
1322	2,19	-4,47	-0,08	16,49	-79,54	1412,77
1330	2,19	-4,45	-0,08	3,88	-51,89	912,75
1338	2,19	-4,43	-0,08	0,97	-59,17	997,13
1346	2,2	-4,41	-0,08	1,94	-34,43	989,37
1354	2,2	-4,39	-0,09	2,42	-72,75	989,37
1361	2,2	-4,37	-0,1	8,73	-86,81	991,8
1369	2,19	-4,35	-0,1	-3,39	-59,65	990,83
1377	2,19	-4,33	-0,11	0,48	-79,05	986,46
1385	2,19	-4,31	-0,11	-0,97	-79,05	991,31
1393	2,19	-4,29	-0,1	0,97	-63,53	992,28
1401	2,19	-4,27	-0,1	5,33	-67,41	987,92
1409	2,19	-4,25	-0,1	0,97	-64,5	992,77
1417	2,19	-4,23	-0,1	1,45	-58,68	993,25
