Time(ms)	 Yaw(º)	 Pitch(º)	 Roll(º)	 AccX(mg)	 AccY(mg)	 AccZ(mg)
5	-16,16	0,56	-7,43	22,31	-199,81	973,85
13	-16,11	0,55	-7,44	26,19	-200,78	973,85
21	-16,07	0,55	-7,45	26,19	-197,87	972,4
29	-16,02	0,54	-7,45	21,34	-199,33	972,4
37	-15,98	0,54	-7,46	26,19	-196,9	973,85
45	-15,93	0,53	-7,46	27,16	-195,93	976,76
53	-15,88	0,53	-7,46	16	-202,72	970,94
60	-15,84	0,53	-7,47	23,76	-198,84	974,34
68	-15,79	0,52	-7,47	22,31	-194,48	971,43
76	-15,75	0,52	-7,48	31,52	-200,78	972,88
84	-15,7	0,51	-7,48	24,73	-195,93	970,94
92	-15,66	0,51	-7,49	26,19	-197,87	970,94
100	-15,62	0,5	-7,5	24,73	-200,3	972,88
108	-15,59	0,5	-7,51	21,82	-200,78	970,94
116	-15,55	0,49	-7,52	25,22	-200,78	968,03
124	-15,51	0,49	-7,52	29,58	-159,08	984,52
131	-15,47	0,48	-7,54	26,67	-218,24	973,85
139	-15,44	0,47	-7,55	27,16	-161,02	988,4
147	-15,4	0,47	-7,58	22,79	-186,72	973,85
155	-15,37	0,46	-7,63	24,73	-190,6	978,7
163	-15,33	0,46	-7,69	30,07	-210,48	969,97
171	-15,29	0,45	-7,74	28,61	-172,17	983,07
179	-15,26	0,45	-7,81	32,49	-221,64	976,76
187	-15,23	0,45	-7,82	27,64	-225,52	986,46
195	-15,19	0,46	-7,79	28,13	-195,45	978,7
202	-15,14	0,48	-7,78	39,28	-195,45	1003,44
210	-15,11	0,51	-7,8	29,1	-214,85	1024,29
218	-15,08	0,57	-7,85	42,19	-177,99	1211,98
226	-15,05	0,64	-7,97	141,13	43,16	1637,8
234	-15,03	0,72	-8,23	91,18	-287,11	816,72
242	-15,02	0,8	-8,43	-7,76	266,26	920,02
250	-15,01	0,91	-8,87	-107,18	118,82	1306,56
258	-15,01	1,01	-9,48	54,32	-269,65	1795,91
265	-15,05	1,13	-10,28	33,46	116,4	1708,13
273	-15,11	1,23	-11,24	-0,48	137,74	1013,62
281	-15,18	1,32	-12,4	-45,1	463,16	1282,31
289	-15,26	1,4	-13,31	-32,98	625,15	1531,59
297	-15,33	1,41	-13,98	-10,67	547,55	1847,8
305	-15,35	1,36	-14,42	8,73	49,47	2276,53
313	-15,31	1,28	-14,44	-159,08	551,92	2042,77
321	-15,16	1,24	-14,14	69,35	843,39	1020,41
329	-15	1,25	-13,3	-297,78	1915,7	645,03
336	-14,77	1,21	-12,59	-283,72	643,09	286,14
344	-14,45	1,13	-11,72	-162,96	920,99	1453,51
352	-14,1	1,01	-10,86	-158,11	1328,87	1026,72
360	-13,67	0,78	-10,27	-148,89	882,68	1761,96
368	-13,17	0,49	-9,74	60,14	497,6	983,55
376	-12,59	0,23	-9,18	90,21	574,22	325,43
384	-11,96	0,1	-8,3	112,03	909,84	342,89
392	-11,29	-0,01	-7,54	-112,52	754,64	353,56
400	-10,56	-0,22	-6,66	-145,5	947,18	985,49
407	-9,77	-0,46	-5,63	124,16	894,8	1001,98
415	-8,95	-0,63	-4,65	98,45	421,45	298,75
423	-8,07	-0,7	-3,57	-17,46	305,06	399,63
431	-7,16	-0,75	-2,48	-158,11	413,21	249,77
439	-6,24	-0,82	-1,45	-67,41	231,34	684,32
448	-5,32	-0,89	-0,48	54,8	13,09	687,71
455	-4,39	-0,96	0,52	140,65	158,11	911,78
463	-3,45	-1,01	1,49	128,04	36,86	951,06
471	-2,53	-1,06	2,41	33,95	-89,72	987,43
478	-1,61	-1,15	3,35	74,69	-156,17	1094,62
486	-0,71	-1,26	4,29	116,4	-147,92	832,24
494	0,19	-1,36	5,23	102,33	-317,67	694,5
502	1,05	-1,45	6,14	109,61	-487,41	686,74
510	1,9	-1,52	7,05	30,55	-609,63	435,52
518	2,75	-1,57	7,96	-8,24	-708,57	512,63
526	3,59	-1,54	8,49	-100,88	-868,61	423,39
534	4,41	-1,43	8,79	-242,01	-934,09	265,29
542	5,11	-1,58	8,9	-340,46	-1493,28	4476,43
549	5,77	-1,66	9,05	234,25	-1446,23	1412,28
558	6,43	-1,71	9,11	-734,76	-1577,18	4394,47
565	6,97	-1,91	9,11	-298,27	-571,32	-34,92
573	7,48	-2,03	9,13	-1623,25	-1013,14	1486,97
581	7,91	-2,14	8,91	-1115,96	-280,81	-337,07
589	8,25	-2,31	8,75	-779,37	-717,3	2616,51
597	8,54	-2,45	8,44	-1132,93	-1807,55	1098,01
605	8,78	-2,54	8,04	-794,41	-1738,19	1444,29
613	8,96	-2,55	7,62	-1102,38	-2062,65	1434,59
620	9,06	-2,56	7,38	-664,92	-1764,87	1084,43
628	9,1	-2,58	7,26	-271,11	-1562,14	988,4
636	9,1	-2,57	7,14	-8,73	-1389	981,61
645	9,05	-2,58	7,1	199,81	-867,16	901,11
652	9	-2,64	7,12	284,2	-49,95	909,35
660	8,96	-2,7	7,13	297,3	-45,59	930,21
668	8,91	-2,69	7,14	358,41	-108,15	199,81
676	8,87	-2,76	7,14	336,1	-1,45	1039,33
684	8,81	-2,75	7,15	278,38	89,72	1113,05
692	8,76	-2,79	7,16	210,48	61,59	1012,65
699	8,69	-2,82	7,16	175,57	78,08	953
707	8,62	-2,83	7,15	144,53	78,08	1010,71
715	8,54	-2,83	7,15	102,33	94,09	985,01
723	8,48	-2,83	7,14	69,84	73,72	1004,89
731	8,41	-2,83	7,13	52,38	92,15	1013,14
739	8,34	-2,77	7,02	-194,48	-85,36	724,57
747	8,26	-2,77	7	63,53	79,54	936,03
755	8,2	-2,77	6,99	56,26	88,27	996,65
762	8,14	-2,77	6,96	83,42	32,98	1001,5
771	8,08	-2,78	6,94	78,57	38,31	1001,01
778	8,01	-2,79	6,93	93,6	65,96	968,52
786	7,96	-2,8	6,91	142,59	54,32	999,56
794	7,9	-2,82	6,89	154,23	37,34	992,28
802	7,84	-2,84	6,87	173,63	52,86	981,13
810	7,77	-2,86	6,85	151,8	46,07	1002,47
818	7,71	-2,88	6,83	153,26	20,85	1021,87
826	7,65	-2,88	6,82	111,06	15,03	991,31
834	7,59	-2,88	6,82	49,47	53,35	1007,32
842	7,53	-2,87	6,82	44,62	36,37	1039,33
849	7,47	-2,85	6,83	41,71	40,74	1026,23
857	7,42	-2,84	6,87	44,62	67,41	1187,73
865	7,36	-2,81	6,89	36,86	86,33	1076,67
873	7,3	-2,78	6,9	-68,87	141,62	1102,38
881	7,23	-2,75	6,91	-10,67	409,33	1265,33
889	7,16	-2,71	6,87	-9,21	214,85	1136,33
897	7,09	-2,69	6,79	77,11	267,71	868,61
904	7,04	-2,64	6,66	20,85	503,9	1173,67
912	7,01	-2,59	6,44	279,35	237,64	790,04
920	7,03	-2,56	6,32	179,93	1008,29	978,22
928	7,08	-2,52	6,21	52,38	780,83	1221,68
936	7,2	-2,5	6,19	211,45	1174,15	1033,51
944	7,34	-2,47	6,27	28,61	1164,45	1318,2
952	7,58	-2,48	6,35	78,08	1301,22	819,14
960	7,86	-2,48	6,62	-29,58	1364,27	1156,21
968	8,2	-2,51	6,93	-12,12	1195,98	823,51
976	8,59	-2,55	7,21	152,29	949,61	609,63
983	9,03	-2,61	7,6	160,53	1006,83	864,25
991	9,51	-2,66	8,25	104,27	681,89	766,76
999	10,03	-2,71	8,81	178,48	526,21	-312,82
1007	10,6	-2,79	9,42	76,63	672,19	1094,13
1015	11,19	-2,85	10,07	194,48	799,74	1148,45
1023	11,81	-2,86	10,65	79,05	-116,4	-422,91
1031	12,46	-2,89	10,84	-99,91	-890,44	874,43
1039	13,09	-2,98	10,93	146,95	195,45	2207,66
1046	13,65	-3,13	11,04	-113,97	-122,7	2756,67
1054	14,19	-3,2	11,2	-255,1	-303,6	-19,4
1062	14,63	-3,28	11,15	-523,3	-611,57	-40,25
1070	14,94	-3,34	10,88	-87,3	-1488,91	91,18
1078	15,18	-3,46	10,32	-297,3	-2083,02	2200,87
1086	15,33	-3,48	9,69	-448,61	-1121,78	2045,19
1094	15,35	-3,5	8,97	-779,86	-1722,19	763,85
1102	15,29	-3,5	8,16	-671,71	-1932,19	1098,01
1110	15,17	-3,5	7,46	-470,92	-1110,14	1151,84
1118	15,04	-3,36	6,95	-544,64	-168,78	791,98
1126	14,93	-3,37	6,68	-478,2	-283,72	1222,65
1133	14,83	-3,37	6,61	-448,13	-197,87	1051,94
1141	14,73	-3,3	6,58	-258,5	-160,53	1038,36
1149	14,62	-3,28	6,56	-43,16	-197,39	934,57
1157	14,49	-3,28	6,61	187,69	-186,24	784,22
1165	14,37	-3,33	6,62	303,12	-209,51	919,05
1173	14,24	-3,4	6,5	385,56	-333,19	868,61
1181	14,11	-3,39	6,43	223,09	-668,8	416,6
1189	13,96	-3,39	6,44	148,41	152,77	1084,43
1196	13,8	-3,36	6,43	-27,64	149,86	907,41
1204	13,65	-3,35	6,39	-19,88	181,39	1162,51
1212	13,49	-3,33	6,38	-14,06	180,9	980,16
1220	13,34	-3,3	6,35	-30,55	105,73	910,32
1228	13,2	-3,27	6,33	-41,22	152,77	955,42
1236	13,07	-3,25	6,31	-15,52	116,4	1037,39
1244	12,94	-3,25	6,3	12,61	75,66	1100,44
1252	12,82	-3,23	6,27	-19,88	-21,34	1014,59
1260	12,7	-3,21	6,26	16,49	48,98	1014,59
1268	12,58	-3,2	6,28	-13,58	95,54	988,4
1276	12,48	-3,18	6,28	-7,76	-12,61	1018,47
1283	12,37	-3,15	6,27	-39,77	-78,08	924,87
1291	12,27	-3,15	6,3	2,91	-40,74	822,54
1299	12,16	-3,15	6,29	48,01	-65,47	979,67
1307	12,04	-3,13	6,29	0	9,7	1009,74
1315	11,93	-3,13	6,29	44,62	31,52	1024,29
1323	11,83	-3,13	6,3	53,35	55,29	1011,68
1331	11,72	-3,12	6,28	21,34	3,88	1002,47
1339	11,6	-3,11	6,26	17,46	-33,46	969,49
1346	11,48	-3,11	6,25	54,32	27,64	1046,6
1354	11,36	-3,11	6,24	42,19	-8,73	946,21
1362	11,24	-3,11	6,25	111,55	50,44	1188,22
1370	11,13	-3,14	6,25	191,08	55,29	1031,57
1378	11,02	-3,19	6,26	267,71	114,46	894,32
1386	10,92	-3,24	6,25	305,54	48,98	1000,04
1394	10,82	-3,24	6,28	318,15	136,77	1100,92
1401	10,73	-3,28	6,28	247,34	21,82	892,86
1409	10,63	-3,32	6,29	218,73	60,14	1000,53
1417	10,54	-3,32	6,29	93,12	13,58	978,7
1425	10,44	-3,33	6,31	99,42	40,25	931,18
1433	10,34	-3,33	6,31	85,84	10,67	1067,94
1441	10,24	-3,33	6,33	65,96	82,45	977,73
1449	10,14	-3,33	6,35	122,7	8,24	1191,13
1457	10,05	-3,33	6,37	98,94	92,63	925,36
1465	9,95	-3,34	6,36	145,01	69,84	1072,31
1473	9,85	-3,36	6,36	174,6	65,47	963,67
1481	9,74	-3,37	6,35	164,41	47,04	1049,03
1489	9,65	-3,38	6,34	144,04	34,92	964,64
1496	9,56	-3,38	6,35	97	42,19	967,06
1504	9,48	-3,37	6,36	38,8	29,1	936,51
1512	9,4	-3,35	6,38	14,06	31,04	952,03
1520	9,31	-3,33	6,39	-14,06	-5,82	1068,43
1528	9,22	-3,31	6,39	30,07	-39,28	1004,41
1536	9,12	-3,3	6,39	22,31	11,64	1061,64
1544	9,03	-3,28	6,37	-3,39	-64,5	953
1552	8,93	-3,27	6,39	32,49	-27,16	879,77
1559	8,83	-3,26	6,42	-26,67	115,43	937
1567	8,72	-3,24	6,4	-14,55	-19,88	932,15
1575	8,63	-3,21	6,37	-35,4	-14,55	1019,44
1583	8,52	-3,18	6,38	-62,56	80,02	965,61
1591	8,41	-3,14	6,37	-81,96	8,24	996,16
1599	8,3	-3,11	6,34	-99,42	-79,05	1054,36
1607	8,18	-3,06	6,31	-146,95	-86,81	897,23
1615	8,08	-3,01	6,26	-133,86	-140,65	1023,81
1623	7,98	-2,97	6,24	-106,21	-110,58	979,19
1630	7,87	-2,95	6,22	-28,61	-73,23	1026,23
1638	7,76	-2,94	6,19	22,79	-66,44	1024,78
1646	7,65	-2,94	6,2	82,45	53,83	941,85
1654	7,55	-2,92	6,18	28,61	11,15	1035,45
1662	7,44	-2,92	6,2	75,66	35,4	882,19
1670	7,34	-2,92	6,22	76,63	55,29	1004,41
1678	7,24	-2,91	6,24	61,11	68,38	994,22
1686	7,15	-2,92	6,26	79,54	27,16	1029,63
1694	7,06	-2,92	6,28	87,78	18,91	896,74
1701	6,96	-2,92	6,25	51,89	-110,09	994,22
1709	6,87	-2,91	6,25	72,26	20,37	995,19
1717	6,78	-2,93	6,28	119,79	71,29	1047,57
1725	6,68	-2,94	6,29	129,98	-12,12	1039,33
1733	6,58	-2,95	6,28	120,28	-3,39	998,1
1741	6,48	-2,95	6,32	110,09	126,58	950,09
1749	6,39	-2,96	6,35	105,73	101,85	968,03
1757	6,31	-2,96	6,33	114,94	-44,62	976,76
1764	6,23	-2,98	6,33	157,62	32,98	1010,23
1773	6,14	-2,98	6,32	108,15	50,92	1034,96
1780	6,06	-2,99	6,32	116,88	6,79	932,15
1788	5,98	-2,99	6,31	140,16	53,83	999,07
1796	5,9	-3,02	6,35	186,72	195,93	1025,26
1804	5,83	-3,04	6,36	199,81	92,15	999,56
1812	5,75	-3,07	6,37	209,03	101,85	1015,56
1820	5,66	-3,09	6,39	207,09	147,92	981,61
1828	5,56	-3,12	6,4	220,67	103,79	1019,93
1835	5,48	-3,15	6,4	236,19	101,36	975,79
1844	5,4	-3,18	6,4	233,28	76,14	1034,48
1851	5,32	-3,21	6,39	248,8	46,56	1026,72
1859	5,25	-3,24	6,39	290,99	52,86	1034,96
1867	5,18	-3,22	6,39	48,5	91,66	1024,78
1875	5,11	-3,19	6,39	35,89	67,9	1314,32
1883	5,04	-3,13	6,38	40,74	61,11	1050,48
1891	4,96	-3,07	6,33	81,48	76,14	1064,55
1899	4,88	-3	6,25	-84,87	-32,49	1662,05
1906	4,81	-2,93	6,21	-70,81	-262,86	1651,38
1914	4,74	-2,9	6,27	-17,94	680,44	1102,38
1922	4,66	-2,86	6,16	282,75	353,07	1053,39
1930	4,57	-2,81	6,05	547,55	-10,67	1371,06
1938	4,49	-2,77	5,91	607,69	-193,02	1307,04
1946	4,39	-2,73	5,7	635,33	-46,56	980,64
1954	4,29	-2,7	5,48	682,86	65,47	953
1962	4,19	-2,67	5,32	579,07	124,16	978,22
1970	4,09	-2,76	5,22	596,05	121,73	905,47
1977	3,99	-2,74	5,16	653,76	162,96	936,51
1985	3,88	-2,85	5,18	628,06	112,52	874,92
1993	3,77	-2,96	5,2	594,59	16,97	872,01
2001	3,66	-3,07	5,27	559,68	55,29	927,78
2009	3,54	-3,15	5,35	487,9	-4,36	765,79
2017	3,43	-3,14	5,42	374,41	-40,74	710,51
2025	3,33	-3,13	5,5	320,58	44,62	774,52
2033	3,23	-3,16	5,56	208,06	44,62	872,98
2041	3,13	-3,15	5,61	10,18	-94,57	975,79
2048	3,04	-3,16	5,73	-343,86	23,28	-392,35
2056	2,94	-3,18	5,8	-373,44	-80,02	1298,8
2064	2,86	-3,21	5,86	-480,14	-445,7	1510,25
2072	2,82	-3,05	5,81	-817,69	-430,18	486,93
2080	2,78	-3,1	5,96	-667,83	-262,86	1697,46
2088	2,74	-3,15	6,11	-696,93	-392,84	799,74
2096	2,68	-3	6,26	-775,49	-175,08	634,85
2104	2,61	-3,02	6,37	-883,16	-108,15	1744,98
2112	2,51	-3,03	6,43	-1018,47	-93,6	1138,75
2120	2,4	-3,02	6,49	-769,19	235,7	1224,11
2127	2,28	-3,02	6,51	-235,7	48,98	827,87
2135	2,16	-2,98	6,54	-134,34	123,67	897,23
2143	2,04	-2,94	6,56	-99,91	137,25	1019,93
2151	1,92	-2,87	6,59	-234,73	235,22	970,94
2159	1,81	-2,87	6,6	-115,91	95,06	1111,59
2167	1,71	-2,86	6,61	-116,88	192,54	863,76
2175	1,62	-2,84	6,59	-48,98	47,04	1006,35
2183	1,53	-2,83	6,58	-11,64	112,03	914,69
2191	1,44	-2,81	6,55	-39,28	81,48	1051,45
2198	1,36	-2,81	6,48	-101,36	-8,73	598,47
2206	1,29	-2,79	6,47	-49,47	89,72	955,42
2214	1,21	-2,77	6,41	-55,29	-96,51	986,95
2222	1,13	-2,75	6,39	-25,22	22,79	998,1
2230	1,05	-2,75	6,4	56,26	152,29	1020,41
2238	0,97	-2,76	6,33	101,85	-159,56	1002,47
2246	0,89	-2,77	6,33	106,21	132,4	995,68
2254	0,81	-2,79	6,3	138,71	-5,82	966,58
2262	0,73	-2,8	6,3	148,41	117,85	986,95
2270	0,67	-2,83	6,29	206,12	33,95	980,16
2277	0,61	-2,88	6,25	253,16	-78,57	974,34
2285	0,55	-2,93	6,25	308,94	53,83	1033,02
2293	0,49	-2,93	6,25	387,02	107,18	1020,9
2301	0,43	-2,92	6,26	452,01	73,72	1023,32
2309	0,37	-2,92	6,24	46,56	13,58	995,68
2317	0,3	-2,91	6,23	48,01	13,58	995,19
2325	0,25	-2,9	6,22	48,5	15,52	991,31
2333	0,2	-2,9	6,22	45,1	15,52	992,77
2340	0,14	-2,89	6,23	48,5	15,52	987,43
2348	0,08	-2,88	6,24	45,1	28,13	989,37
2356	0,04	-2,88	6,25	42,19	25,22	987,43
2364	-0,01	-2,87	6,25	47,53	29,58	990,83
2372	-0,06	-2,86	6,26	47,53	31,04	987,92
2380	-0,12	-2,85	6,26	45,1	35,4	993,25
2388	-0,18	-2,84	6,26	46,07	30,07	997,62
2396	-0,23	-2,83	6,25	45,59	26,19	989,86
2404	-0,27	-2,83	6,24	46,56	24,73	989,37
2412	-0,33	-2,82	6,24	47,53	30,55	990,83
2419	-0,39	-2,81	6,23	43,16	27,64	994,22
2427	-0,44	-2,8	6,22	47,04	23,28	989,86
2435	-0,49	-2,79	6,21	42,68	24,73	990,34
2443	-0,54	-2,78	6,21	49,47	23,76	995,19
2451	-0,59	-2,77	6,2	47,04	20,85	996,65
2459	-0,63	-2,77	6,2	43,16	20,85	992,77
2467	-0,68	-2,76	6,2	48,5	25,7	991,8
2475	-0,72	-2,75	6,21	43,65	22,79	982,58
2482	-0,77	-2,74	6,21	41,22	23,28	989,37
2490	-0,82	-2,73	6,21	48,5	24,73	995,68
2498	-0,87	-2,73	6,21	47,53	22,79	997,62
2506	-0,92	-2,72	6,21	47,53	29,1	995,19
2514	-0,98	-2,71	6,21	41,71	32,01	996,16
2522	-1,04	-2,7	6,2	47,53	38,31	1003,92
2530	-1,1	-2,69	6,18	44,62	33,95	999,56
2538	-1,15	-2,68	6,17	48,98	26,19	987,92
2546	-1,2	-2,67	6,15	48,01	20,37	986,95
2553	-1,25	-2,67	6,14	45,1	19,88	991,31
2561	-1,3	-2,66	6,13	48,5	19,88	996,65
2569	-1,36	-2,65	6,13	48,01	26,19	992,28
2577	-1,4	-2,64	6,13	38,8	30,55	1001,5
2585	-1,45	-2,63	6,13	46,56	31,52	1000,04
2593	-1,49	-2,62	6,13	44,13	20,37	993,25
2601	-1,54	-2,62	6,14	45,59	8,73	975,31
2609	-1,59	-2,61	6,15	45,59	6,79	985,98
2617	-1,63	-2,6	6,17	48,98	21,82	976,76
2625	-1,68	-2,59	6,19	47,53	39,28	987,43
2633	-1,73	-2,59	6,2	42,68	48,01	1002,95
2640	-1,78	-2,58	6,21	45,1	36,37	992,77
2648	-1,82	-2,57	6,2	36,37	32,01	969,97
2656	-1,87	-2,56	6,2	44,13	35,89	971,91
2664	-1,92	-2,56	6,18	47,53	30,55	979,67
2672	-1,97	-2,55	6,17	42,68	22,79	978,7
2680	-2,02	-2,55	6,16	43,65	20,37	985,01
2688	-2,05	-2,54	6,16	39,77	21,34	977,73
2696	-2,09	-2,54	6,15	44,62	25,22	985,98
2703	-2,13	-2,54	6,15	43,65	31,52	992,77
2711	-2,17	-2,54	6,16	48,5	32,98	993,25
2719	-2,21	-2,53	6,16	48,5	33,46	985,49
2727	-2,25	-2,53	6,15	49,95	33,95	992,28
2735	-2,3	-2,53	6,15	45,1	33,46	996,16
2743	-2,35	-2,52	6,14	48,98	26,67	984,04
2751	-2,4	-2,52	6,13	46,56	27,16	985,98
2759	-2,45	-2,52	6,12	48,01	17,46	998,59
2766	-2,51	-2,52	6,11	43,16	23,28	992,77
2775	-2,55	-2,51	6,11	42,19	32,98	990,34
2782	-2,59	-2,51	6,1	41,22	30,55	996,16
2790	-2,63	-2,5	6,1	48,5	32,98	995,68
2798	-2,68	-2,5	6,08	47,53	28,61	993,25
2806	-2,72	-2,49	6,08	48,01	26,19	985,98
2814	-2,77	-2,49	6,07	48,01	26,19	986,95
2822	-2,82	-2,48	6,06	42,19	23,28	984,04
2830	-2,86	-2,48	6,05	43,16	28,61	992,28
2837	-2,9	-2,48	6,05	43,65	34,92	1001,01
