Time(ms)	 Yaw(º)	 Pitch(º)	 Roll(º)	 AccX(mg)	 AccY(mg)	 AccZ(mg)
5	33,92	1,7	-3,38	-599,44	-809,44	704,2
13	33,96	1,72	-3,15	-81,96	-204,66	1123,23
21	34	1,72	-2,41	-578,1	-1020,41	2964,24
29	34,04	1,72	-1,65	-259,95	-312,33	2758,61
37	34,09	1,73	-0,78	-400,6	-223,09	2775,58
45	34,15	1,71	-0,11	-451,04	-405,45	-180,42
52	34,22	1,61	0,51	446,67	-491,78	625,15
60	34,27	1,55	1,03	238,13	-581,01	744,46
68	34,33	1,55	1,56	299,72	-408,36	141,13
76	34,38	1,55	2,04	304,09	4,85	684,32
84	34,41	1,55	2,38	-9,7	297,3	1130,51
92	34,41	1,56	2,77	-118,34	1717,82	2340,06
100	34,38	1,57	2,93	16,49	-2,91	1624,71
109	34,35	1,58	2,9	-11,64	-87,3	1080,07
116	34,36	1,57	2,98	21,34	326,4	1000,53
124	34,38	1,57	2,97	2,42	-24,25	934,09
131	34,4	1,57	2,95	2,42	-23,76	978,22
139	34,43	1,57	2,95	2,42	0	974,34
147	34,47	1,57	2,93	7,27	-74,69	969,49
155	34,49	1,57	2,92	4,36	-44,13	1001,98
163	34,51	1,56	2,91	2,91	-64,5	984,04
171	34,53	1,56	2,91	1,45	-56,26	982,1
179	34,55	1,56	2,9	1,45	-55,29	991,31
187	34,57	1,56	2,9	3,88	-52,86	996,65
195	34,59	1,56	2,9	-7,76	-36,37	996,65
202	34,61	1,56	2,9	6,79	-35,89	1001,01
210	34,63	1,55	2,9	0,48	-51,89	988,4
218	34,66	1,55	2,88	2,91	-54,8	989,86
226	34,68	1,55	2,87	1,94	-50,44	996,16
234	34,7	1,55	2,86	2,91	-54,32	989,86
242	34,72	1,54	2,85	8,24	-52,86	989,37
250	34,75	1,54	2,85	0,97	-48,98	987,92
258	34,77	1,54	2,84	3,88	-51,89	993,25
266	34,79	1,54	2,83	2,42	-47,04	997,13
274	34,82	1,53	2,83	3,39	-53,83	988,4
281	34,84	1,53	2,83	3,88	-54,8	988,89
289	34,86	1,53	2,83	0	-60,14	987,92
297	34,88	1,53	2,83	0	-55,29	991,8
305	34,89	1,53	2,83	-3,39	-44,13	994,71
313	34,9	1,52	2,82	0,48	-45,1	998,59
321	34,92	1,52	2,81	3,39	-45,1	989,86
329	34,94	1,52	2,81	1,45	-48,01	987,92
337	34,96	1,52	2,8	-0,48	-51,41	989,37
344	34,98	1,52	2,79	1,45	-47,53	996,65
352	35,01	1,51	2,78	0,97	-38,31	1001,01
360	35,03	1,51	2,76	1,94	-57,71	986,95
368	35,06	1,51	2,75	-1,94	-48,01	988,4
376	35,09	1,51	2,74	0,97	-52,38	989,37
384	35,12	1,51	2,72	0,97	-54,8	983,55
392	35,15	1,5	2,71	4,36	-50,92	987,92
400	35,19	1,5	2,7	-1,45	-49,47	996,65
408	35,21	1,5	2,69	2,42	-46,56	991,31
415	35,23	1,5	2,68	4,85	-55,29	988,89
423	35,25	1,5	2,67	1,45	-56,26	987,43
431	35,27	1,5	2,66	2,42	-56,74	988,4
439	35,29	1,49	2,65	1,45	-50,92	990,34
447	35,3	1,49	2,64	3,39	-60,14	989,37
455	35,33	1,49	2,63	1,94	-53,35	995,68
463	35,35	1,49	2,62	8,24	-36,86	988,89
471	35,38	1,48	2,61	4,36	-50,44	990,34
478	35,4	1,49	2,6	0,97	-46,07	993,74
486	35,42	1,49	2,6	-1,94	-49,47	986,46
494	35,45	1,48	2,59	1,45	-52,38	989,37
502	35,47	1,48	2,57	-1,45	-48,5	995,68
510	35,5	1,48	2,57	-3,39	-55,29	987,92
518	35,53	1,48	2,56	0,48	-44,13	985,49
526	35,55	1,47	2,55	1,94	-50,44	990,83
534	35,58	1,47	2,54	0	-50,44	992,77
542	35,6	1,47	2,54	-2,91	-48,98	986,95
550	35,62	1,47	2,53	-1,94	-40,25	1001,5
557	35,64	1,47	2,52	3,39	-52,38	983,07
565	35,65	1,46	2,51	-0,97	-50,44	994,22
573	35,67	1,46	2,51	0,97	-52,38	988,89
581	35,7	1,46	2,5	1,45	-44,13	989,86
589	35,72	1,46	2,49	5,33	-48,5	991,8
597	35,74	1,46	2,48	0,97	-54,32	995,19
605	35,76	1,46	2,47	2,42	-57,71	987,43
613	35,78	1,45	2,46	0	-55,77	994,71
621	35,81	1,45	2,45	0	-49,95	993,74
629	35,83	1,45	2,44	7,27	-57,23	991,31
636	35,84	1,45	2,44	3,88	-54,32	989,37
644	35,86	1,44	2,43	-2,91	-57,71	995,19
652	35,88	1,44	2,43	0,97	-52,86	996,16
660	35,91	1,44	2,42	2,42	-50,92	996,16
668	35,92	1,44	2,42	-3,88	-54,8	992,77
676	35,94	1,44	2,41	0	-64,02	991,31
684	35,96	1,44	2,4	1,45	-47,04	990,34
692	35,98	1,44	2,4	-3,39	-43,16	990,34
700	36,01	1,44	2,4	-0,97	-40,74	995,19
707	36,03	1,44	2,4	3,39	-48,5	989,37
715	36,06	1,44	2,39	-0,97	-50,92	991,31
723	36,09	1,43	2,38	4,36	-52,38	990,83
731	36,12	1,43	2,38	5,33	-49,47	992,77
739	36,15	1,43	2,38	0	-49,47	990,34
747	36,17	1,43	2,37	0	-43,16	996,65
755	36,2	1,43	2,37	-0,97	-46,56	985,98
763	36,22	1,43	2,37	0	-36,37	995,19
771	36,24	1,42	2,37	1,94	-41,71	993,25
778	36,27	1,42	2,36	4,85	-46,07	992,28
786	36,3	1,42	2,36	1,94	-50,92	989,86
794	36,31	1,42	2,35	2,91	-50,44	991,8
802	36,31	1,42	2,35	3,39	-48,98	987,43
810	36,33	1,41	2,34	4,85	-47,53	992,77
818	36,35	1,41	2,34	3,88	-47,53	991,8
826	36,37	1,41	2,33	0	-53,83	992,77
833	36,4	1,41	2,33	-0,97	-45,59	986,95
842	36,42	1,41	2,32	1,94	-53,35	994,22
849	36,44	1,41	2,32	2,42	-48,01	990,83
857	36,46	1,4	2,31	12,12	-49,95	993,25
865	36,48	1,4	2,31	1,45	-50,92	988,4
873	36,51	1,4	2,3	0	-55,77	988,4
881	36,52	1,4	2,3	-4,36	-56,74	985,49
889	36,57	1,39	2,57	154,23	-992,28	653,76
897	36,61	1,36	2,96	-30,07	-468,01	225,03
