Time(ms)	 Yaw(º)	 Pitch(º)	 Roll(º)	 AccX(mg)	 AccY(mg)	 AccZ(mg)
6	-118,08	-0,02	-0,87	-1625,19	4,85	106,7
14	-117,94	-0,14	-0,25	-547,07	809,44	3602,97
22	-117,81	-0,13	0,11	-873,95	515,06	800,23
30	-117,68	-0,16	0,38	-791,98	75,17	1302,19
38	-117,55	-0,08	0,39	-242,98	-126,1	966,58
46	-117,43	-0,08	0,39	228,91	392,84	1075,7
55	-117,33	-0,07	0,38	468,98	144,53	1073,28
61	-117,24	-0,06	0,37	580,04	0,97	1114,02
69	-117,14	-0,06	0,38	731,36	-80,99	1086,86
77	-117,04	-0,09	0,42	762,89	13,09	1383,18
85	-116,93	-0,09	0,47	497,6	138,71	1254,18
93	-116,82	-0,11	0,47	81,96	25,7	996,65
100	-116,73	-0,11	0,44	-196,42	-47,04	2703,8
108	-116,62	-0,1	0,46	69,84	153,26	1228,47
116	-116,52	-0,09	0,46	258,98	628,54	-1784,27
124	-116,42	-0,07	0,23	134,34	-563,56	299,72
132	-116,32	-0,07	0,26	58,68	79,05	965,61
140	-116,22	-0,09	0,26	561,62	492,75	-2474,41
147	-116,13	-0,14	0,29	198,84	-37,34	311,85
155	-116,02	-0,14	0,31	85,36	114,46	1108,2
163	-115,92	-0,14	0,31	68,87	39,28	1034,96
171	-115,82	-0,14	0,31	69,84	19,4	1017,99
179	-115,72	-0,11	0,24	146,95	-103,3	-59,17
187	-115,62	-0,16	0,27	235,7	184,3	1382,21
194	-115,53	-0,16	0,29	64,5	63,05	1080,07
203	-115,45	-0,16	0,29	64,5	22,31	1019,44
210	-115,35	-0,16	0,29	69,35	34,43	1026,72
218	-115,25	-0,17	0,3	65,47	33,46	1030,11
226	-115,16	-0,17	0,3	64,02	27,64	1026,23
234	-115,07	-0,17	0,31	70,32	35,4	1028,66
242	-114,99	-0,17	0,31	68,38	32,98	1028,17
249	-114,91	-0,17	0,32	67,9	35,4	1025,26
257	-114,82	-0,17	0,32	69,35	32,98	1024,78
265	-114,74	-0,18	0,32	71,78	35,89	1024,29
273	-114,65	-0,18	0,32	64,99	37,34	1028,66
281	-114,57	-0,18	0,32	69,84	35,4	1025,75
289	-114,49	-0,18	0,32	67,9	33,95	1027,2
297	-114,41	-0,18	0,32	71,78	33,46	1023,81
304	-114,34	-0,18	0,32	68,87	30,07	1022,84
312	-114,26	-0,18	0,32	62,56	33,95	1024,78
320	-114,18	-0,18	0,32	70,81	33,95	1028,66
328	-114,1	-0,19	0,32	65,96	28,61	1026,23
336	-114,03	-0,19	0,32	67,9	32,49	1028,66
344	-113,96	-0,19	0,32	68,38	32,01	1024,78
351	-113,89	-0,19	0,33	68,87	38,31	1024,78
359	-113,81	-0,19	0,33	63,53	36,86	1031,57
367	-113,73	-0,19	0,33	70,81	33,95	1027,2
375	-113,65	-0,2	0,33	70,81	32,98	1021,87
383	-113,58	-0,2	0,33	70,81	31,52	1029,63
391	-113,51	-0,2	0,33	65,47	31,52	1028,17
398	-113,44	-0,2	0,33	66,93	33,95	1021,87
406	-113,36	-0,2	0,32	61,59	32,49	1028,66
414	-113,28	-0,21	0,32	67,41	32,49	1019,93
422	-113,21	-0,21	0,31	65,96	29,1	1020,41
430	-113,15	-0,21	0,31	67,41	32,98	1017,5
438	-113,09	-0,21	0,31	64,99	37,34	1021,87
445	-113,03	-0,2	0,1	177,02	-436,97	715,84
453	-112,97	-0,19	-0,02	50,44	-322,03	882,19
461	-112,91	-0,2	-0,01	67,9	60,14	1033,02
469	-112,85	-0,2	-0,01	69,84	36,86	1035,45
477	-112,8	-0,21	-0,01	67,9	26,19	1026,72
485	-112,73	-0,2	0	61,11	32,01	1024,29
493	-112,67	-0,21	0	72,75	32,49	1028,17
500	-112,59	-0,21	0	67,9	30,07	1021,38
508	-112,52	-0,21	0,01	66,44	29,58	1029,63
516	-112,46	-0,21	0,01	69,35	30,55	1026,23
524	-112,39	-0,21	0,01	64,5	23,28	1030,6
532	-112,34	-0,21	0,01	66,93	30,07	1018,47
540	-112,3	-0,21	0,02	69,35	28,13	1027,69
547	-112,24	-0,22	0,02	69,84	28,13	1024,78
555	-112,18	-0,21	0,02	68,87	31,52	1024,78
563	-112,12	-0,22	0,03	67,9	35,89	1028,66
571	-112,07	-0,22	0,03	61,11	36,86	1027,2
579	-112,01	-0,22	0,03	65,47	35,89	1021,87
586	-111,96	-0,22	0,03	67,9	35,89	1028,17
595	-111,9	-0,22	0,03	73,23	31,52	1023,81
602	-111,84	-0,23	0,03	64,5	32,98	1025,26
610	-111,78	-0,23	0,02	70,81	27,64	1027,69
618	-111,72	-0,23	0,02	61,59	29,58	1025,75
626	-111,68	-0,23	0,01	67,9	32,98	1021,87
634	-111,63	-0,23	0,01	66,93	26,67	1025,26
642	-111,58	-0,23	0,01	71,29	32,98	1038,36
649	-111,53	-0,23	0,01	67,41	32,98	1026,72
657	-111,48	-0,23	0	65,96	18,91	1031,57
665	-111,44	-0,24	0	65,47	29,58	1027,2
673	-111,39	-0,24	0	65,96	35,89	1027,69
680	-111,34	-0,24	0	68,38	22,79	1015,56
688	-111,29	-0,24	0,01	66,44	32,01	1026,23
696	-111,24	-0,24	0,02	68,38	36,37	1021,87
704	-111,18	-0,24	0,03	68,87	40,25	1035,45
712	-111,14	-0,24	0,04	68,87	24,73	1026,72
720	-111,09	-0,24	0,05	69,84	39,77	1027,69
728	-111,04	-0,23	0,05	68,38	36,86	1028,66
735	-111	-0,23	0,05	69,84	35,4	1028,66
743	-110,96	-0,22	0,05	67,41	40,25	1033,02
751	-110,91	-0,22	0,05	63,53	46,56	1040,78
759	-110,85	-0,21	0,05	70,32	69,35	1084,43
767	-110,81	-0,21	0,05	61,11	48,5	1060,18
775	-110,77	-0,19	0,08	3,88	280,32	1083,46
782	-110,72	-0,16	0,05	-10,18	-11,64	1171,73
790	-110,68	-0,13	0,02	2,42	-36,37	1105,77
798	-110,64	-0,11	-0,02	45,59	13,58	1083,95
806	-110,61	-0,07	-0,04	25,22	-26,67	1092,68
814	-110,58	-0,03	-0,09	27,64	-76,14	1191,13
822	-110,53	0,01	-0,12	21,34	129,01	1086,37
829	-110,48	0,05	-0,15	18,91	-22,79	1111,11
837	-110,44	0,08	-0,17	10,18	6,3	1250,78
845	-110,4	0,12	-0,21	4,85	86,33	1119,35
853	-110,35	0,14	-0,26	12,61	111,55	1130,51
861	-110,31	0,17	-0,3	39,77	94,09	1157,66
869	-110,26	0,19	-0,38	2,42	-57,23	970,46
877	-110,2	0,22	-0,45	8,24	53,83	1215,38
884	-110,14	0,28	-0,48	-53,35	113,49	1070,85
892	-110,08	0,33	-0,5	-113	135,31	1326,44
900	-110,01	0,37	-0,51	-39,77	115,43	924,39
908	-109,94	0,4	-0,51	-91,66	145,98	1184,34
916	-109,86	0,45	-0,49	-70,32	49,47	970,94
924	-109,77	0,48	-0,48	-58,2	290,02	1187,25
931	-109,68	0,49	-0,42	-76,63	109,61	839,51
939	-109,59	0,51	-0,33	-79,05	337,07	758,04
947	-109,47	0,52	-0,2	-78,57	410,78	768,7
955	-109,36	0,58	-0,08	-30,55	186,24	946,21
963	-109,26	0,63	0,04	-387,02	417,57	1936,55
971	-109,13	0,61	0	-211,94	86,33	2048,1
978	-109,01	0,65	0,05	-146,47	410,3	2002,51
986	-108,86	0,64	0,14	-201,75	342,89	1300,74
994	-108,7	0,64	0,3	-22,31	421,94	721,66
1002	-108,53	0,65	0,47	-139,19	408,36	1423,92
1010	-108,33	0,63	0,7	-102,33	555,31	1198,4
1018	-108,11	0,6	0,97	-161,02	606,72	1512,19
1025	-107,86	0,53	1,28	43,16	675,1	1497,64
1033	-107,57	0,48	1,57	5,82	604,29	1273,58
1041	-107,25	0,4	1,85	13,58	527,67	1361,84
1049	-106,89	0,28	2,14	54,32	597,99	1254,18
1057	-106,49	0,17	2,44	98,94	592,65	1220,71
1065	-106,05	0,05	2,75	120,76	574,22	1087,83
1073	-105,6	-0,09	3,2	116,88	586,35	907,9
1080	-105,12	-0,22	3,65	115,43	534,46	825,93
1088	-104,6	-0,32	4,02	110,58	525,73	680,92
1096	-104,05	-0,44	4,56	138,71	606,23	722,63
1104	-103,48	-0,53	5,12	103,79	601,38	754,16
1112	-102,9	-0,61	5,69	112,03	565,98	732,33
1120	-102,29	-0,7	6,26	139,68	449,58	777,43
1128	-101,64	-0,79	6,87	120,76	546,58	906,44
1135	-100,97	-0,89	7,46	145,01	512,63	927,78
1143	-100,29	-1	8,02	119,79	417,57	791,98
1151	-99,59	-1,1	8,38	52,86	-358,89	856
1160	-98,89	-1,16	9,01	42,19	449,58	1215,86
1166	-98,23	-1,16	9,72	5,33	246,37	633,88
1174	-97,59	-1,22	10,61	298,27	394,29	178,96
1182	-96,97	-1,25	11,37	241,04	77,6	-537,85
1190	-96,37	-1,29	11,94	61,59	-502,93	1638,77
1198	-95,81	-1,24	12,95	60,62	425,82	-738,15
1206	-95,28	-1,2	13,72	193,99	-152,77	191,08
1213	-94,6	-1,09	14,23	218,24	-327,37	465,59
1222	-94,05	-1,03	14,91	107,18	340,46	989,86
1229	-93,47	-1,02	15,46	100,88	336,1	1197,92
1237	-92,9	-1,02	16,11	250,25	481,11	848,73
1245	-92,36	-0,97	16,82	208,54	301,18	854,55
1253	-91,67	-0,88	17,72	258,01	288,57	533
1261	-91,02	-0,82	18,42	8,73	-85,36	1631,5
1268	-90,48	-0,79	19,26	141,62	46,56	1255,15
1276	-89,98	-0,71	20,27	-80,99	497,11	491,78
1284	-89,37	-0,6	21,32	16,97	343,37	682,86
1292	-88,79	-0,46	22,25	-204,66	-258,01	712,45
1300	-88,4	-0,28	23,15	-283,72	127,07	722,15
1308	-88,03	-0,1	23,83	-232,31	-80,99	793,44
1316	-87,66	0,1	24,12	-302,15	-766,76	807,99
1323	-87,33	0,37	24,27	-230,37	-526,7	816,72
1331	-87,03	0,91	23,72	-2362,86	-2294,47	5445,92
1339	-86,82	0,85	23,41	-461,71	-449,1	1635,38
1347	-86,67	1,13	23,78	-180,42	-1149,9	2998,19
1355	-86,51	1,1	23,85	-599,93	-1802,7	3174,73
1363	-86,57	1,12	23,94	-282,75	-512,63	1248,84
1370	-86,73	1,11	23,72	-694,5	-702,75	1310,92
1379	-86,7	1,1	23,62	-347,25	-163,44	728,45
1386	-86,7	1,09	23,8	-365,68	161,99	150,35
1394	-86,9	1,13	23,79	-323,49	-239,58	2594,2
1402	-87,11	1,09	24,03	-480,62	1128,57	1109,17
1409	-87,32	1,02	24,39	-247,83	1196,46	272,08
1417	-87,5	0,97	24,5	245,4	190,12	1942,37
1425	-87,49	0,9	24,58	115,43	457,34	857,46
1433	-87,65	0,9	24,56	267,23	150,35	557,25
1441	-87,81	0,81	24,66	373,93	425,33	838,54
1449	-87,8	0,82	24,74	286,63	830,78	985,49
1457	-87,79	0,71	24,69	519,91	318,64	874,43
1465	-87,96	0,6	24,61	577,13	500,99	778,89
1472	-88,13	0,61	24,43	712,45	611,08	763,85
1480	-88,3	0,64	24,08	577,62	661,04	765,31
1488	-88,48	0,64	23,55	100,39	590,71	901,59
1496	-88,67	0,67	23,07	-96,51	1138,27	1414,71
1504	-88,84	0,69	22,54	112,03	1073,28	591,2
1511	-89,02	0,69	21,76	180,9	-684,32	1913,27
1519	-89,19	0,72	21,21	40,74	413,21	315,73
1527	-89,35	0,75	20,69	29,1	-410,3	1098,5
1535	-89,49	0,74	20,14	14,55	-501,48	2490,41
1543	-89,63	0,72	19,74	147,92	-179,45	1011,2
1551	-89,77	0,67	19,54	395,75	1053,88	1421,01
1559	-89,91	0,69	19,57	-72,75	1022,35	1522,38
1566	-90,05	0,67	19,62	118,82	505,84	877,34
1574	-90,18	0,66	19,64	80,51	388,96	939,42
1582	-90,32	0,65	19,66	84,87	365,68	921,48
1590	-90,45	0,64	19,66	89,24	368,11	934,09
1598	-90,58	0,63	19,64	88,27	351,62	946,21
1606	-90,71	0,62	19,62	86,81	350,16	949,61
1613	-90,83	0,61	19,59	82,93	343,86	963,67
1621	-90,95	0,61	19,57	80,02	345,31	959,3
1629	-91,07	0,6	19,55	82,45	345,8	956,88
1637	-91,19	0,59	19,53	81,48	347,25	952,52
1645	-91,3	0,58	19,5	81,48	343,37	962,21
1653	-91,42	0,57	19,48	81,48	346,28	953,97
1660	-91,54	0,57	19,46	83,42	344,34	957,85
1668	-91,65	0,56	19,45	79,54	335,61	958,33
1676	-91,76	0,55	19,44	82,45	350,16	955,91
1684	-91,87	0,54	19,44	84,39	351,62	952,03
1692	-92,04	0,39	19,42	759,01	1738,19	27,16
1700	-92,16	0,42	19,64	31,04	1511,22	119,31
1708	-92,28	0,43	19,7	93,12	711,96	844,36
1715	-92,38	0,43	19,66	67,41	311,36	976,76
1723	-92,49	0,42	19,66	89,24	358,89	949,12
1731	-92,6	0,41	19,64	87,3	339,49	961,73
1739	-92,7	0,4	19,62	82,45	343,86	955,42
1747	-92,8	0,4	19,59	79,05	333,19	966,58
1754	-92,9	0,39	19,57	80,99	342,4	962,21
1762	-93	0,38	19,56	79,05	335,13	962,7
1770	-93,09	0,38	19,55	79,54	339,01	958,33
1778	-93,18	0,37	19,55	80,51	339,49	955,91
1786	-93,28	0,36	19,54	84,39	335,61	954,94
1794	-93,38	0,36	19,54	80,51	341,43	955,91
1802	-93,47	0,35	19,53	84,87	345,8	960,76
1809	-93,56	0,34	19,53	81,48	341,43	962,21
1817	-93,65	0,33	19,52	83,9	336,1	956,88
1825	-93,73	0,32	19,52	80,51	345,31	958,33
1833	-93,82	0,32	19,52	84,39	345,8	956,88
1841	-93,91	0,31	19,51	80,99	344,34	954,94
1849	-93,99	0,31	19,5	84,39	339,01	959,3
1856	-94,07	0,3	19,5	80,99	340,46	960,27
