Time(ms)	 Yaw(º)	 Pitch(º)	 Roll(º)	 AccX(mg)	 AccY(mg)	 AccZ(mg)
3	-24,26	-1,44	0,41	32,01	-70,81	988,89
10	-24,24	-1,44	0,4	34,92	-73,72	984,04
18	-24,24	-1,44	0,39	33,95	-72,75	987,92
26	-24,23	-1,43	0,39	32,01	-69,35	989,37
34	-24,23	-1,43	0,38	32,01	-69,84	985,01
42	-24,22	-1,43	0,37	32,01	-88,27	987,92
50	-24,2	-1,42	0,35	31,52	-74,69	985,49
58	-24,19	-1,42	0,34	28,13	-71,29	981,13
66	-24,17	-1,42	0,34	35,4	-76,63	985,98
74	-24,16	-1,42	0,33	33,46	-75,17	980,16
82	-24,15	-1,41	0,32	30,55	-74,69	986,95
89	-24,14	-1,41	0,32	39,28	-72,75	993,74
97	-24,13	-1,41	0,32	31,04	-76,14	987,43
105	-24,12	-1,4	0,32	38,31	-64,5	990,34
113	-24,11	-1,4	0,32	32,49	-67,9	984,52
121	-24,11	-1,4	0,32	28,13	-63,53	985,98
129	-24,1	-1,4	0,32	31,04	-71,29	989,86
137	-24,09	-1,39	0,31	28,61	-81,96	985,49
145	-24,07	-1,39	0,31	34,43	-77,6	991,31
153	-24,06	-1,39	0,3	29,58	-74,69	987,92
160	-24,04	-1,38	0,3	33,46	-72,26	985,01
168	-24,03	-1,38	0,29	34,43	-75,17	986,46
176	-24,02	-1,38	0,29	30,07	-74,69	982,58
184	-24,01	-1,38	0,29	36,37	-74,2	987,43
192	-24	-1,38	0,29	39,77	-73,72	988,4
200	-23,99	-1,37	0,29	34,43	-72,26	985,49
208	-23,99	-1,37	0,29	33,46	-76,14	986,95
216	-23,98	-1,37	0,29	31,52	-53,35	992,77
224	-23,97	-1,37	0,3	38,8	-72,26	991,31
232	-23,97	-1,36	0,3	30,07	-62,56	991,31
239	-23,95	-1,36	0,3	31,52	-68,38	984,04
247	-23,94	-1,36	0,3	34,43	-70,81	987,43
255	-23,94	-1,36	0,29	33,46	-68,87	983,07
263	-23,94	-1,35	0,28	27,64	-70,81	992,28
271	-23,93	-1,35	0,28	35,4	-73,72	992,28
279	-23,92	-1,35	0,27	32,01	-67,9	991,8
287	-23,91	-1,35	0,27	32,98	-77,6	984,04
295	-23,9	-1,35	0,26	32,01	-69,35	989,37
302	-23,89	-1,34	0,25	34,43	-73,23	985,01
310	-23,88	-1,34	0,25	34,92	-73,72	988,89
318	-23,87	-1,34	0,25	33,46	-74,69	986,95
326	-23,87	-1,33	0,25	33,95	-75,17	982,58
334	-23,86	-1,33	0,25	31,52	-75,17	987,43
342	-23,87	-1,33	0,25	31,52	-71,78	985,01
350	-23,87	-1,32	0,25	32,98	-62,56	985,01
358	-23,87	-1,32	0,25	32,98	-67,41	983,55
