Time(ms)	 Yaw(º)	 Pitch(º)	 Roll(º)	 AccX(mg)	 AccY(mg)	 AccZ(mg)
3	-15,11	0,26	7,51	31,52	-2,91	994,71
10	-15,11	0,27	7,49	32,01	-1,45	987,92
18	-15,11	0,28	7,46	33,95	-3,88	995,19
26	-15,11	0,28	7,44	35,4	-6,79	998,1
34	-15,11	0,29	7,41	28,13	-24,25	982,58
42	-15,11	0,29	7,39	33,46	-8,24	997,62
50	-15,12	0,3	7,37	29,1	-6,79	995,19
58	-15,12	0,3	7,35	32,01	-6,3	993,25
66	-15,13	0,31	7,33	29,58	0,48	983,07
74	-15,13	0,31	7,31	26,19	0,48	985,01
82	-15,14	0,42	7,3	-465,1	54,32	976,28
1486	-26,33	2,89	-8,18	-212,42	-45,1	1034,48
1494	-26,29	2,93	-8,22	-237,16	-338,52	824,48
1502	-26,23	2,95	-8,22	-226,49	-356,95	699,35
1510	-26,16	2,98	-8,24	-234,73	-381,68	904,99
1518	-26,11	3	-8,24	-105,73	-247,83	894,8
1526	-26,05	3,04	-8,19	-218,73	-178,48	870,55
1533	-25,99	3,04	-8,11	-154,71	-197,87	1197,43
1541	-25,92	3,04	-8,02	-228,43	-175,08	821,57
1549	-25,86	3,06	-7,92	-127,07	-290,51	984,52
1557	-25,81	3,05	-7,8	18,43	-228,43	943,79
1565	-25,75	3,04	-7,65	48,98	-64,02	1125,66
1573	-25,69	3,03	-7,56	18,43	-355,01	851,64
1581	-25,63	3,03	-7,44	-26,67	-380,72	1102,86
1589	-25,56	3,04	-7,32	-80,99	-100,39	978,22
1597	-25,49	3,04	-7,15	-78,57	142,1	785,68
1604	-25,43	3,05	-7,09	-71,78	-273,53	1016,53
1612	-25,37	3,04	-7,02	-24,25	-146,47	898,2
1620	-25,31	3,04	-6,91	37,34	-189,63	1179,49
1628	-25,24	3,01	-6,85	113	-131,43	944,76
1636	-25,18	3,01	-6,79	206,12	-142,59	1160,09
1644	-25,11	3,01	-6,76	252,19	-86,33	2053,92
1652	-25,06	2,95	-6,75	174,11	-288,57	866,19
1660	-25	2,91	-6,73	150,35	-49,47	907,9
1667	-24,94	2,84	-6,72	229,88	-145,01	1054,85
1676	-24,88	2,78	-6,72	242,49	-222,61	977,25
1683	-24,83	2,73	-6,71	178,96	-188,66	952,52
1691	-24,78	2,68	-6,73	203,69	-287,6	852,12
1699	-24,73	2,62	-6,7	255,59	-192,54	959,3
1707	-24,68	2,55	-6,7	276,93	-277,9	916,14
1715	-24,62	2,55	-6,66	513,6	-113,97	1085,4
1723	-24,58	2,62	-6,71	208,06	-687,71	-90,21
1731	-24,52	2,54	-6,74	326,88	-276,44	939,91
1739	-24,46	2,54	-6,73	451,52	-220,18	1114,99
1746	-24,41	2,45	-6,79	371,02	-357,92	955,42
1754	-24,36	2,36	-6,79	378,78	-189,15	950,58
1762	-24,3	2,36	-6,77	363,74	-209,51	1034,96
1770	-24,25	2,26	-6,77	452,01	-207,57	955,42
1778	-24,2	2,26	-6,74	341,92	-218,73	1032,05
1786	-24,15	2,21	-6,74	198,36	-226,97	1025,26
1794	-24,11	2,14	-6,74	271,11	-187,21	961,24
1802	-24,06	2,06	-6,74	354,53	-232,79	991,8
1810	-24,01	1,98	-6,75	341,43	-207,09	968,03
1817	-23,96	1,97	-6,76	23,76	-212,91	968,52
1825	-23,91	1,96	-6,77	19,88	-215,33	963,18
1833	-23,86	1,95	-6,79	18,43	-214,36	966,58
1841	-23,81	1,94	-6,81	19,88	-204,66	970,46
