Time(ms)	 Yaw(º)	 Pitch(º)	 Roll(º)	 AccX(mg)	 AccY(mg)	 AccZ(mg)
5	-92,59	1,8	3,44	-976,76	-807,5	1970,99
13	-92,58	1,91	2,64	-714,39	-1101,41	1525,77
21	-92,59	2,08	1,75	-394,29	-837,09	2720,29
28	-92,58	2,17	0,81	270,62	-1182,88	2607,78
37	-92,59	2,43	-0,24	1308,5	-1205,68	2568,49
44	-92,6	2,87	-1,25	1938,49	-525,73	2537,94
52	-92,63	3,54	-2,24	2177,59	-641,64	1826,95
60	-92,7	4,34	-3,33	2634,45	-751,25	2851,73
68	-92,79	5,35	-4,4	2652,4	-659,1	1863,32
75	-92,89	6,46	-5,48	2423,48	-301,66	2206,69
83	-93,03	7,73	-6,47	1933,64	-711,48	949,12
91	-93,14	8,83	-7,38	2037,92	-425,33	6703,98
100	-93,28	10,09	-8,31	1154,27	-381,68	-340,95
107	-93,42	11,23	-8,85	1227,02	1288,61	2635,42
115	-93,58	12,09	-9,5	694,5	544,16	3039,42
123	-93,75	13,05	-10,11	207,57	1224,11	1078,13
131	-93,94	13,8	-10,18	413,69	1967,11	1890,48
138	-94,04	14,26	-10	614,48	326,4	624,66
146	-94,2	14,97	-10,05	19,88	-76,63	-602,35
154	-94,33	15,66	-9,9	492,26	500,99	-244,43
162	-94,49	16,35	-9,64	581,01	592,17	711,96
170	-94,65	17,01	-9,27	607,69	222,12	-738,15
177	-94,83	17,91	-8,85	415,15	515,06	-178,96
185	-94,99	18,8	-8,25	456,86	1766,32	-323,49
193	-95,19	19,74	-7,68	920,51	1424,89	1077,64
201	-95,37	20,62	-7,06	940,39	408,84	590,71
210	-95,5	21,23	-6,57	828,84	-170,72	591,2
217	-95,59	21,88	-6,11	915,17	23,76	818,66
224	-95,63	22,36	-5,75	1186,28	-54,8	1665,93
232	-95,62	22,67	-5,4	1243,51	274,5	823,51
240	-95,58	22,84	-5,09	1264,36	260,44	992,77
248	-95,51	22,86	-4,83	1331,29	194,96	312,82
256	-95,42	22,82	-4,73	1478,73	-291,48	338,52
264	-95,34	22,76	-4,7	1418,1	-219,21	-485,47
271	-95,26	22,69	-4,72	1478,73	104,76	-364,71
279	-95,2	22,6	-4,75	1235,75	149,38	-237,64
