Time(ms)	 Yaw(º)	 Pitch(º)	 Roll(º)	 AccX(mg)	 AccY(mg)	 AccZ(mg)
6	-114,61	2,71	-1,91	26,67	-4,85	1028,17
14	-114,61	2,71	-1,92	28,61	3,39	1035,45
22	-114,61	2,7	-1,93	29,58	-2,91	1030,6
30	-114,6	2,7	-1,95	27,16	-9,21	1025,75
38	-114,59	2,7	-1,97	31,52	0	1040,78
45	-114,59	2,69	-2,03	41,71	-106,21	972,4
53	-114,59	2,69	-2,07	29,58	10,18	1045,15
61	-114,59	2,69	-2,12	31,04	-1,45	1035,45
69	-114,58	2,7	-2,17	29,58	-13,58	1037,39
77	-114,59	2,7	-2,23	26,19	-30,07	1023,32
87	-114,59	2,7	-2,27	30,55	-31,04	1012,65
92	-114,6	2,7	-2,29	30,55	-29,1	1028,66
100	-114,59	2,7	-2,3	29,58	-29,1	1024,29
108	-114,58	2,7	-2,29	33,46	-26,67	1023,81
116	-114,59	2,7	-2,28	28,61	-17,46	1028,17
124	-114,59	2,7	-2,27	32,01	-12,12	1038,36
131	-114,59	2,7	-2,27	28,61	-10,67	1039,33
139	-114,6	2,7	-2,26	21,34	-14,55	1032,05
147	-114,6	2,7	-2,26	27,16	-15,03	1031,57
155	-114,61	2,69	-2,25	29,58	-16,97	1027,2
163	-114,61	2,69	-2,25	23,28	-9,21	1028,17
170	-114,62	2,69	-2,24	21,34	-18,91	1031,57
178	-114,63	2,69	-2,23	32,01	-16	1031,57
186	-114,62	2,68	-2,23	29,58	-1,94	1033,99
194	-114,62	2,68	-2,23	27,64	-13,09	1032,54
202	-114,62	2,68	-2,24	23,76	-5,82	1028,17
210	-114,62	2,68	-2,25	26,67	-6,3	1037,39
218	-114,62	2,68	-2,26	24,25	-11,64	1040,78
226	-114,63	2,68	-2,29	26,67	-2,91	1039,33
233	-114,64	2,68	-2,32	31,04	-13,58	1029,63
241	-114,64	2,68	-2,35	27,16	-18,91	1029,14
249	-114,64	2,68	-2,41	30,07	-27,64	1024,29
257	-114,65	2,68	-2,45	29,1	-26,67	1029,14
265	-114,66	2,68	-2,49	27,64	-10,18	1039,33
273	-114,66	2,68	-2,53	23,28	-19,4	1031,57
280	-114,66	2,68	-2,62	-0,48	-236,67	1032,05
288	-114,66	2,68	-2,64	27,16	-45,59	1043,21
296	-114,66	2,68	-2,67	26,19	-27,16	1026,72
304	-114,66	2,68	-2,69	23,28	-19,4	1031,08
312	-114,67	2,68	-2,71	30,55	-23,28	1028,66
320	-114,67	2,68	-2,72	29,1	-20,37	1032,54
327	-114,66	2,67	-2,74	29,1	-26,19	1031,57
335	-114,65	2,67	-2,75	17,46	-23,28	1025,26
343	-114,65	2,67	-2,76	31,52	-27,64	1022,35
351	-114,64	2,67	-2,76	28,13	-28,13	1027,69
359	-114,63	2,67	-2,76	27,64	-28,13	1033,51
366	-114,63	2,66	-2,76	27,64	-27,16	1033,02
374	-114,62	2,66	-2,76	25,22	-22,31	1031,08
382	-114,62	2,66	-2,76	30,55	-20,85	1030,6
390	-114,61	2,66	-2,76	26,19	-23,28	1037,87
398	-114,61	2,66	-2,76	28,61	-20,37	1033,99
406	-114,6	2,66	-2,76	25,22	-22,31	1031,57
413	-114,59	2,66	-2,77	23,28	-16,49	1036,9
421	-114,58	2,65	-2,78	28,13	-10,18	1037,39
429	-114,57	2,65	-2,8	21,34	-11,64	1036,42
437	-114,57	2,65	-2,83	23,28	-8,73	1036,42
445	-114,56	2,65	-2,88	36,37	-24,73	1027,2
453	-114,56	2,65	-2,93	29,1	-28,61	1042,24
460	-114,56	2,65	-2,98	26,67	-28,13	1030,6
468	-114,56	2,65	-3,03	28,61	-49,47	1010,71
476	-114,55	2,65	-3,06	31,04	-31,04	1026,23
484	-114,54	2,65	-3,09	27,16	-33,46	1024,78
492	-114,54	2,65	-3,11	25,22	-32,98	1027,69
500	-114,53	2,65	-3,14	23,76	-32,01	1029,14
507	-114,53	2,65	-3,16	25,7	-32,49	1025,75
515	-114,52	2,65	-3,17	25,7	-41,71	1028,66
523	-114,52	2,65	-3,18	22,79	-32,49	1025,26
531	-114,52	2,65	-3,19	29,1	-32,98	1024,29
539	-114,52	2,64	-3,19	29,1	-38,8	1025,75
547	-114,51	2,64	-3,19	24,25	-31,52	1028,66
555	-114,51	2,64	-3,18	24,73	-32,98	1031,08
563	-114,5	2,64	-3,17	29,58	-28,61	1030,6
570	-114,49	2,63	-3,16	30,07	-33,46	1031,57
578	-114,49	2,63	-3,15	30,55	-31,04	1029,14
586	-114,49	2,63	-3,14	26,67	-30,55	1029,14
594	-114,5	2,63	-3,14	27,16	-32,49	1029,63
602	-114,49	2,62	-3,13	24,73	-31,52	1031,08
609	-114,49	2,62	-3,12	17,46	-29,58	1034,96
617	-114,47	2,62	-3,12	27,16	-26,67	1031,57
625	-114,46	2,62	-3,11	27,16	-31,04	1034,48
633	-114,45	2,62	-3,11	25,7	-30,55	1031,57
641	-114,45	2,62	-3,1	26,67	-25,22	1035,45
649	-114,45	2,62	-3,1	22,79	-25,7	1032,05
657	-114,44	2,61	-3,09	25,7	-22,79	1031,57
664	-114,43	2,61	-3,09	29,1	-30,07	1035,93
672	-114,42	2,61	-3,1	23,28	-21,34	1029,14
680	-114,41	2,61	-3,1	22,79	-30,07	1034,48
688	-114,42	2,61	-3,11	21,82	-27,16	1032,54
696	-114,42	2,6	-3,11	24,73	-32,98	1033,51
703	-114,43	2,6	-3,12	33,46	-45,1	1034,96
711	-114,42	2,6	-3,13	24,25	-32,01	1030,11
719	-114,41	2,6	-3,14	31,52	-34,92	1031,08
727	-114,41	2,6	-3,15	26,67	-33,95	1031,57
735	-114,41	2,59	-3,16	26,19	-28,61	1026,72
743	-114,41	2,59	-3,16	22,79	-31,04	1032,54
750	-114,41	2,59	-3,17	23,76	-34,92	1036,42
758	-114,41	2,59	-3,17	29,58	-28,13	1031,08
766	-114,41	2,59	-3,18	23,76	-29,58	1031,08
774	-114,41	2,59	-3,18	25,7	-31,52	1031,57
782	-114,41	2,59	-3,19	25,22	-30,55	1032,54
790	-114,41	2,59	-3,2	26,19	-25,7	1035,93
797	-114,42	2,59	-3,21	24,25	-30,07	1032,05
805	-114,42	2,58	-3,22	31,04	-27,16	1034,48
813	-114,42	2,58	-3,23	21,82	-33,95	1033,02
821	-114,42	2,58	-3,24	23,76	-29,58	1027,69
829	-114,42	2,58	-3,25	20,37	-33,46	1029,63
837	-114,43	2,58	-3,27	23,76	-28,13	1032,05
844	-114,44	2,61	-3,27	111,55	-110,09	861,82
852	-114,44	2,62	-3,28	20,37	0,48	1133,9
860	-114,44	2,62	-3,31	22,79	-30,07	1019,44
868	-114,43	2,62	-3,33	30,07	-22,31	1031,08
876	-114,43	2,62	-3,37	22,31	-12,12	1046,12
884	-114,42	2,62	-3,43	-12,12	0,48	1071,34
892	-114,42	2,64	-3,57	-23,28	-407,39	649,88
899	-114,41	2,65	-3,69	-7,76	52,38	930,69
907	-114,42	2,66	-3,8	78,57	440,37	1085,89
915	-114,42	2,69	-4,02	-107,67	-204,18	1048,06
923	-114,41	2,74	-4,26	-117,37	105,73	940,39
931	-114,41	2,76	-4,41	-58,2	80,99	944,27
