Time(ms)	 Yaw(º)	 Pitch(º)	 Roll(º)	 AccX(mg)	 AccY(mg)	 AccZ(mg)
5	-42,96	6,5	18,2	47,53	-282,26	3161,15
13	-42,64	6,36	18,83	358,89	-76,63	430,18
21	-42,33	6,28	19,43	252,68	-438,43	2497,2
29	-42,08	6,32	19,77	795,38	-905,96	-3368,24
37	-41,83	6,22	20,34	-133,37	-500,02	1895,33
45	-41,71	5,93	20,59	189,63	-373,44	1004,89
52	-41,57	5,83	21,19	140,65	-123,67	2018,52
60	-41,44	5,7	21,61	-193,99	-281,29	-1340,99
68	-41,39	5,52	22,13	-9,21	245,4	2133,94
76	-41,31	5,41	22,68	134,34	98,94	-997,13
84	-41,24	5,46	22,79	-353,07	-496,14	1658,17
92	-41,12	5,68	23,13	201,27	-500,02	-21,34
99	-41,02	5,87	22,67	-478,2	-1087,83	3593,27
108	-41	5,85	22,02	-133,37	-1258,54	2282,84
115	-40,94	5,93	21,55	407,39	-265,77	3313,92
123	-40,98	5,82	21,26	229,4	398,66	847,27
131	-40,99	5,83	21,36	-46,07	-12,12	-391,87
139	-41	6,02	21,2	-723,12	-545,13	-369,56
147	-41,01	5,99	21,23	-432,61	-364,23	-499,05
154	-41,02	5,95	21,16	195,45	88,27	3057,36
162	-40,99	6,02	20,89	-90,69	1376,39	429,7
170	-41,01	5,98	20,93	-31,52	854,06	1036,42
178	-41,03	5,96	20,93	-408,84	283,23	-164,41
186	-41,02	5,93	20,69	-788,1	-638,73	1221,68
193	-41,01	5,92	20,5	-285,66	498,08	2013,18
201	-41,01	5,9	20,37	-601,87	402,54	466,07
209	-41,01	6,07	20,15	-833,69	-6,3	335,61
217	-41,03	6	20,01	-1042,72	169,75	1180,46
225	-41,04	5,99	19,63	-829,33	35,89	1846,35
233	-41,06	6	19,27	-178,96	-52,38	1951,59
240	-41,05	6,03	18,44	-78,57	271,59	429,21
249	-41,35	6,05	17,68	148,89	995,68	1979,72
256	-41,64	6,09	16,94	340,95	1070,37	-510,21
264	-41,65	6,09	16,07	360,35	682,86	1249,33
272	-41,96	6,1	15,46	78,08	96,51	477,23
280	-42,24	6,09	15,02	229,4	988,4	225,03
288	-42,52	6,13	14,31	142,59	1638,77	173,14
295	-42,78	6,16	13,51	181,87	378,29	129,01
303	-43,02	6,23	12,84	78,08	-713,9	1036,9
311	-43,28	6,25	12,42	-84,87	-938,94	1809
319	-43,52	6,27	12,08	122,22	107,18	1271,15
