Time(ms)	 Yaw(º)	 Pitch(º)	 Roll(º)	 AccX(mg)	 AccY(mg)	 AccZ(mg)
6	-113.18	1.75	-6.71	62.56	26.67	1032.54
14	-113.17	1.74	-6.70	54.80	19.88	1029.14
22	-113.16	1.74	-6.68	54.80	13.09	1026.23
30	-113.15	1.74	-6.65	55.29	12.61	1023.81
38	-113.13	1.73	-6.60	63.53	68.87	1058.73
45	-113.11	1.73	-6.58	55.77	10.67	1031.57
53	-113.10	1.72	-6.54	57.71	35.89	1031.08
61	-113.08	1.72	-6.51	50.92	38.80	1031.57
69	-113.07	1.72	-6.49	51.41	18.43	1034.96
77	-113.06	1.72	-6.46	54.80	18.43	1029.63
84	-113.06	1.72	-6.43	53.35	26.67	1034.48
92	-113.04	1.72	-6.40	55.29	28.13	1034.48
100	-113.03	1.71	-6.38	56.74	27.64	1040.30
108	-113.02	1.71	-6.35	57.23	25.22	1031.08
116	-113.01	1.71	-6.33	61.59	30.07	1040.78
124	-113.01	1.71	-6.31	55.29	16.49	1024.78
131	-113.01	1.70	-6.29	54.32	11.15	1027.69
139	-113.01	1.70	-6.25	51.89	16.97	1028.66
147	-113.01	1.70	-6.21	58.20	23.28	1034.96
155	-113.01	1.70	-6.17	56.74	22.79	1039.81
163	-113.01	1.70	-6.13	55.77	17.46	1039.33
171	-113.01	1.70	-6.09	50.44	26.67	1053.39
179	-113.01	1.71	-6.05	54.32	31.04	1059.70
186	-113.01	1.71	-6.00	48.01	28.61	1046.12
194	-113.00	1.71	-5.95	42.68	14.55	1085.40
202	-112.99	1.73	-5.89	-62.56	24.25	761.92
210	-112.99	1.75	-5.81	-467.53	115.91	1123.23
218	-112.98	1.78	-5.72	-689.17	-33.46	1070.85
225	-112.96	1.80	-5.62	-819.63	101.85	999.56
233	-112.94	1.82	-5.51	-1031.57	-44.13	1047.57
241	-112.93	1.84	-5.38	-1230.90	-208.54	1243.51
249	-112.93	1.87	-5.24	-1488.43	-151.80	1141.66
257	-112.94	1.92	-5.04	-1666.42	240.07	1019.93
264	-112.96	1.97	-4.95	-1771.17	-115.91	1125.17
272	-112.99	2.03	-4.88	-1740.13	-26.19	1016.05
280	-113.02	2.08	-4.79	-1725.58	-32.01	1061.15
288	-113.04	2.14	-4.74	-1642.65	-65.47	1053.88
296	-113.04	2.19	-4.68	-1581.54	-96.51	1036.42
304	-113.04	2.23	-4.55	-1470.48	-17.46	1017.02
312	-113.02	2.28	-4.46	-1337.11	-78.08	845.82
319	-112.98	2.36	-4.64	-1446.72	-182.84	1966.14
327	-112.93	2.41	-4.70	-1339.05	257.04	111.55
335	-112.88	2.47	-4.79	-1359.42	-313.30	1161.06
343	-112.81	2.53	-4.90	-1166.39	132.89	1262.42
351	-112.74	2.59	-5.03	-1097.53	-420.48	868.61
358	-112.63	2.68	-5.14	-1184.82	170.72	1358.93
366	-112.53	2.76	-5.17	-1089.28	-171.69	890.44
374	-112.41	2.83	-5.22	-1297.83	-105.24	1023.32
382	-112.29	2.90	-5.18	-1294.92	261.41	1425.86
390	-112.16	2.98	-5.18	-1126.63	-17.46	-126.58
398	-112.03	3.07	-5.49	-1212.95	-525.73	1368.63
406	-111.90	3.15	-5.79	-1035.45	-306.51	700.32
414	-111.79	3.23	-6.25	-919.05	-300.21	870.55
421	-111.66	3.31	-6.61	-1027.20	560.16	1489.40
429	-111.53	3.41	-7.00	-726.03	-169.26	2151.89
437	-111.42	3.51	-7.33	-695.96	-138.71	1900.67
445	-111.30	3.64	-7.74	-741.06	-330.28	1565.54
453	-111.17	3.74	-8.23	-1030.11	33.95	1112.08
461	-111.05	3.82	-8.63	-981.61	319.61	400.60
468	-110.93	4.02	-8.91	-944.76	-957.36	1419.07
476	-110.81	4.18	-9.36	-725.54	129.49	2760.55
484	-110.68	4.28	-9.66	-282.26	226.97	1613.07
492	-110.53	4.36	-9.97	-133.37	-67.90	2279.93
499	-110.37	4.44	-10.21	437.94	-101.36	2754.73
507	-110.22	4.69	-10.30	944.76	-227.46	1890.97
515	-110.10	5.06	-10.38	1532.07	-265.29	2883.73
523	-109.99	5.63	-10.37	2239.67	-261.41	2692.16
531	-109.91	6.40	-10.38	2702.83	-172.66	2828.45
539	-109.85	7.31	-10.31	3073.85	90.21	2592.26
547	-109.80	8.36	-10.26	3244.56	95.06	2771.70
554	-109.78	9.57	-10.18	3088.40	-73.72	1607.73
562	-109.74	11.04	-9.73	3362.42	1599.97	-592.17
570	-109.78	12.32	-9.37	3276.57	566.47	1234.29
579	-109.77	13.70	-9.07	1586.88	-455.40	-396.72
586	-109.72	14.82	-8.88	1654.78	-1796.88	3662.14
593	-109.68	15.95	-8.96	1464.18	-1894.85	1084.92
602	-109.52	16.87	-8.64	868.13	580.53	1311.41
609	-109.40	17.56	-8.22	1176.09	1160.09	169.75
617	-109.25	18.22	-7.56	477.71	536.88	2025.31
625	-109.04	18.82	-7.05	854.55	286.14	-2149.46
633	-108.86	19.45	-6.41	650.85	290.02	2074.29
642	-108.68	20.10	-5.79	565.50	92.15	-1906.97
648	-108.53	20.97	-5.41	956.39	-776.95	194.48
656	-108.41	21.90	-4.90	920.02	306.03	-2815.84
664	-108.29	22.81	-4.44	1234.78	-221.15	-128.52
672	-108.22	23.62	-4.06	957.36	-639.70	229.40
680	-108.11	24.51	-3.65	1087.83	-309.42	272.56
688	-108.01	25.23	-3.30	1255.15	133.37	576.65
695	-107.92	25.82	-2.97	1041.75	-103.79	739.61
703	-107.80	26.25	-2.71	1282.31	-302.63	502.93
711	-107.69	26.55	-2.54	1474.85	-140.16	1637.32
720	-107.59	26.69	-2.46	1365.24	-215.82	515.54
727	-107.49	26.76	-2.49	1438.96	-426.30	220.67
735	-107.40	26.72	-2.59	1440.90	-245.40	303.60
743	-107.32	26.67	-2.75	1369.12	-168.29	312.33
750	-107.24	26.59	-2.96	1372.51	-254.62	-403.99
758	-107.15	26.53	-3.19	1235.75	-80.99	-180.90
766	-107.06	26.24	-3.45	1037.87	12.12	-155.68
774	-106.98	26.12	-3.72	850.67	-29.10	88.27
782	-106.89	25.95	-4.02	717.78	-2.42	3.39
790	-106.79	25.71	-4.31	604.78	19.88	95.54
797	-106.70	25.35	-4.59	588.29	118.82	292.45
805	-106.59	24.70	-4.88	569.38	47.53	776.95
813	-106.48	23.91	-5.16	810.90	50.92	394.78
821	-106.44	22.99	-5.49	908.38	-48.01	500.99
829	-106.33	22.20	-5.80	1176.58	139.19	554.83
837	-106.24	21.38	-6.12	1522.86	169.26	55.29
844	-106.23	20.53	-6.44	1539.83	22.31	585.86
852	-106.24	19.72	-6.87	1527.71	-343.37	584.41
861	-106.23	18.91	-7.20	1274.06	-164.90	899.65
868	-106.23	18.16	-7.68	1272.61	-60.14	2604.38
876	-106.27	17.46	-7.88	1410.34	732.33	-143.56
884	-106.31	16.70	-8.08	993.25	282.75	887.53
891	-106.37	15.80	-8.28	791.98	62.08	1701.82
