Time(ms)	 Yaw(º)	 Pitch(º)	 Roll(º)	 AccX(mg)	 AccY(mg)	 AccZ(mg)
5	-11,18	-0,9	5,93	16,49	129,49	1070,85
13	-11,1	-0,9	5,94	28,13	49,47	1008,77
21	-11,03	-0,89	5,93	11,64	8,24	994,71
29	-10,95	-0,89	5,93	11,15	-4,36	994,71
37	-10,88	-0,88	5,94	16,49	4,36	991,8
45	-10,82	-0,88	5,94	15,03	6,79	991,31
52	-10,74	-0,87	5,95	12,12	14,06	991,31
60	-10,66	-0,87	5,95	10,18	10,18	992,28
68	-10,59	-0,87	5,95	9,21	11,64	993,25
76	-10,51	-0,86	5,95	16	9,7	993,74
84	-10,43	-0,86	5,95	11,15	9,21	992,77
92	-10,36	-0,85	5,94	16	12,61	995,19
99	-10,29	-0,85	5,93	10,67	4,85	993,25
107	-10,2	-0,84	5,93	10,18	5,82	994,22
115	-10,11	-0,83	5,92	11,15	13,58	990,83
123	-10,04	-0,83	5,92	9,21	7,76	992,77
131	-9,96	-0,83	5,91	11,64	8,24	997,13
139	-9,89	-0,82	5,9	14,55	6,3	996,16
147	-9,81	-0,82	5,9	13,58	7,27	990,83
155	-9,74	-0,81	5,89	12,12	9,21	986,95
163	-9,67	-0,81	5,89	15,03	3,88	986,95
170	-9,59	-0,8	5,88	12,61	7,76	997,62
179	-9,52	-0,8	5,88	9,21	4,85	988,89
186	-9,45	-0,79	5,88	9,7	13,58	990,34
194	-9,38	-0,79	5,88	7,76	10,18	992,28
202	-9,3	-0,78	5,87	8,73	2,42	989,86
210	-9,22	-0,78	5,86	14,55	6,3	991,8
218	-9,15	-0,77	5,85	13,58	10,67	993,25
226	-9,07	-0,77	5,84	15,03	9,7	991,31
234	-9	-0,77	5,84	9,21	8,73	989,86
242	-8,93	-0,76	5,83	9,7	8,73	997,62
250	-8,86	-0,75	5,82	14,06	7,76	991,31
257	-8,78	-0,75	5,82	8,24	5,82	989,37
265	-8,7	-0,74	5,81	16,49	7,76	994,71
273	-8,62	-0,74	5,8	7,76	5,33	990,34
281	-8,54	-0,73	5,8	13,09	12,61	994,22
289	-8,45	-0,73	5,8	8,73	8,24	992,28
297	-8,37	-0,72	5,79	13,58	8,24	993,25
305	-8,3	-0,72	5,79	12,61	3,39	994,22
312	-8,23	-0,71	5,79	16,97	11,64	992,77
320	-8,16	-0,71	5,79	14,55	10,67	992,28
328	-8,09	-0,7	5,78	12,61	10,18	987,43
336	-8,01	-0,7	5,78	10,18	9,7	992,28
344	-7,94	-0,7	5,77	16	10,67	993,25
352	-7,87	-0,69	5,77	9,7	11,64	989,86
360	-7,78	-0,69	5,77	12,12	10,67	989,37
368	-7,7	-0,68	5,77	12,12	10,67	990,34
376	-7,63	-0,68	5,76	14,55	12,61	988,89
383	-7,56	-0,67	5,76	10,67	13,09	993,74
392	-7,49	-0,67	5,74	12,61	23,28	993,25
399	-7,42	-0,67	5,72	8,73	0,97	992,77
407	-7,34	-0,66	5,7	9,7	6,3	989,86
415	-7,27	-0,66	5,68	6,79	12,12	988,4
423	-7,2	-0,65	5,66	12,12	5,33	987,92
431	-7,13	-0,65	5,64	13,58	6,3	992,28
439	-7,06	-0,65	5,63	10,18	4,85	990,34
447	-6,99	-0,64	5,62	11,15	11,15	991,8
455	-6,91	-0,64	5,6	9,21	2,91	992,77
463	-6,84	-0,63	5,6	12,12	10,18	994,22
470	-6,77	-0,63	5,58	9,7	6,79	990,83
478	-6,69	-0,62	5,57	12,61	1,94	991,31
486	-6,62	-0,62	5,57	8,24	9,21	988,4
494	-6,54	-0,62	5,56	7,76	9,7	993,25
502	-6,47	-0,61	5,55	12,12	12,61	987,43
510	-6,39	-0,61	5,54	10,67	12,12	992,77
518	-6,32	-0,6	5,54	8,24	7,76	989,37
526	-6,25	-0,6	5,53	15,03	11,64	990,34
533	-6,17	-0,59	5,52	14,55	10,67	993,74
541	-6,1	-0,59	5,51	16,97	4,85	997,62
549	-6,02	-0,58	5,51	13,58	9,21	1000,04
557	-5,94	-0,57	5,5	13,58	6,3	992,28
565	-5,87	-0,57	5,5	12,61	9,21	994,71
573	-5,8	-0,56	5,49	12,12	5,33	993,74
581	-5,72	-0,56	5,49	17,94	8,24	990,34
589	-5,65	-0,56	5,48	11,15	8,73	990,34
596	-5,59	-0,55	5,48	8,24	4,85	988,4
604	-5,52	-0,55	5,48	10,67	2,91	990,34
612	-5,45	-0,55	5,48	11,64	8,24	995,68
620	-5,38	-0,54	5,48	14,55	9,7	994,22
628	-5,3	-0,54	5,47	14,55	-9,21	980,16
636	-5,23	-0,54	5,48	16,97	7,76	989,86
644	-5,15	-0,53	5,48	14,06	11,15	991,8
652	-5,07	-0,53	5,47	13,58	10,67	994,71
660	-5	-0,53	5,47	11,64	9,21	997,62
667	-4,93	-0,52	5,46	11,64	4,85	994,71
675	-4,86	-0,52	5,46	16	6,3	994,22
683	-4,78	-0,52	5,45	14,55	9,21	990,83
691	-4,7	-0,51	5,44	10,67	13,58	992,28
699	-4,63	-0,51	5,44	14,06	8,24	995,19
707	-4,56	-0,5	5,43	11,64	8,24	993,25
715	-4,49	-0,5	5,42	7,76	12,61	990,34
723	-4,42	-0,5	5,42	12,12	3,88	989,37
731	-4,35	-0,49	5,41	9,21	10,67	986,95
738	-4,27	-0,49	5,41	7,27	8,73	991,8
746	-4,2	-0,49	5,4	13,58	12,61	994,71
754	-4,13	-0,48	5,4	8,73	11,64	989,86
762	-4,06	-0,48	5,39	10,67	14,55	989,86
770	-3,98	-0,48	5,39	11,64	11,64	991,31
778	-3,91	-0,48	5,38	13,58	12,61	991,8
786	-3,84	-0,47	5,37	11,15	8,24	994,22
794	-3,76	-0,47	5,37	18,91	3,88	987,92
802	-3,69	-0,46	5,36	7,27	8,24	998,1
810	-3,62	-0,46	5,35	12,61	5,33	989,37
817	-3,55	-0,46	5,35	15,52	8,24	996,65
825	-3,48	-0,45	5,34	10,18	8,73	990,34
833	-3,41	-0,45	5,34	11,15	8,73	990,34
841	-3,35	-0,45	5,33	9,7	15,52	990,83
849	-3,28	-0,45	5,32	10,67	2,42	985,98
857	-3,21	-0,44	5,32	12,61	9,7	993,25
865	-3,13	-0,44	5,31	12,61	12,61	993,25
873	-3,06	-0,43	5,31	11,64	5,82	990,83
880	-2,99	-0,43	5,3	9,7	4,36	994,22
888	-2,92	-0,43	5,29	14,06	11,15	991,31
896	-2,85	-0,42	5,29	11,64	8,24	988,4
904	-2,78	-0,42	5,28	10,67	8,24	989,37
912	-2,7	-0,41	5,28	8,24	13,09	996,16
920	-2,64	-0,41	5,27	13,09	6,79	990,83
928	-2,57	-0,41	5,26	10,18	10,67	993,74
936	-2,51	-0,4	5,25	17,94	2,91	989,86
943	-2,45	-0,4	5,25	12,12	11,64	994,22
951	-2,37	-0,4	5,24	8,24	6,3	992,77
959	-2,3	-0,4	5,23	15,03	12,12	995,19
967	-2,23	-0,4	5,23	13,09	13,09	997,13
975	-2,16	-0,39	5,22	14,55	12,12	991,8
983	-2,09	-0,39	5,21	8,24	9,7	995,19
991	-2,02	-0,39	5,2	14,06	12,12	985,49
999	-1,96	-0,39	5,19	12,12	3,39	992,28
1007	-1,9	-0,38	5,18	15,52	3,88	992,28
1014	-1,83	-0,38	5,17	12,12	11,15	991,8
1022	-1,76	-0,38	5,17	12,12	17,94	995,68
1030	-1,68	-0,37	5,16	8,73	6,3	994,71
